,mineral_name,2v,art & architecture thesaurus id (p1014),babelnet id (p2581),birefringence,caption,class,cleavage,colour,commons category (p373),crystal system (p556),dana,dana 8th edition (p714),density,described by source (p1343),description,diaphaneity,dispersion,elhuyar zth id (p4746),encyclopædia britannica online id (p1417),encyclopædia universalis id (p3219),fluorescence,fracture,freebase id (p646),google knowledge graph id (p2671),gran enciclopèdia catalana id (p1296),gravity,great russian encyclopedia online id (p2924),habit,"ima number, broad sense (p484)",ima status and/or rank (p579),kbpedia id (p8408),kivid.info id (p7348),luster,microsoft academic id (p6366),mindat mineral id (p6263),mohs,mohs' hardness (p1088),molweight,name,named after (p138),"nickel-strunz '10th ed', review of (9th ed/ 2009 update) (p713)",nickel-strunz 9th edition (updated 2009) (p712),opticalprop,other,pleochroism,refractive,solid solution series with (p2155),solubility,space group (p690),store norske leksikon id (p4342),streak,streak color (p534),strunz,"strunz 8th edition (series id, updated) (p711)",subclass of (p279),symmetry,system,tenacity,twinning,type locality (geology) (p2695),unit cell,wolfram language entity code (p4839)
764,kassite,,,,δ = 0.26,"Light yellow kassite's spherules with orange-yellow tabular [[cafetite]] in [[lizardite]] matrix. Base 2&nbsp;mm. Locality: Val di Serra Quarry, Pilcante, Ala, Lagarina Valley, Trento Province, Trentino-Alto Adige (Trentino-Südtirol), Italy",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,"{010} Perfect, {101} Indistinct",,Kassite,,08.03.09,,3.42,,,,,,,,,Brittle,/m/025t30w,,,3.42,,Pseudo hexagonal,IMA1968 s.p.,approved mineral and/or valid name (A) (Q13406835),,,Adamantine,2776310757,,5,,235.09 g/mol,Kassite,Nikolai Kassin (Q18627548),4.DH.10,4.DH.10,"Biaxial (–),  2V=58°, dispersion very strong, r > v",Not radioactive,none,"n<sub>α</sub> = 1.95, n<sub>β</sub> = 2.13, n<sub>γ</sub> = 2.21",,,,,White,white (Q23444),4.DH.10,IV/D.20,oxide class of minerals (Q945532),''P2''<sub>1</sub>/a,[[Monoclinic]],Very brittle,": Common, on {101} and {181}.",Afrikanda (Q1987760),,
765,katayamalite,,,,,,Prismatic <br/>[[H-M symbol]]: 2/''m'',Perfect on {001},,Katayamalite,monoclinic crystal system (Q624543),61.01.04.02,,2.91,,Pearly-white radioactive mineral,,,,,,brilliant blue-white under SW,,,/g/120x760v,,,,"Tabular, common twinning",IMA1982-004,approved mineral and/or valid name (A) (Q13406835),,,"Vitreous, pearly",,,3.5 - 4,,,,Nobuo Katayama (Q17220709),9.CJ.25,9.CJ.25,Biaxial (+),[[Image:Radioactive.svg|25px]] [[Radioactive]],,,,,space group C2/c (Q103888918),,White,,9.CJ.25,,baratovite mineral group (Q19857908),''B''2/b,[[Monoclinic]],,,Iwagi islet (Q11474307),"3,179.12",
766,kazakovite,,,,0.023,,Hexagonal Scalenohedral <br />[[H-M Symbol]]: (3 2/m),None,,Kazakovite,trigonal crystal system (Q588274),61.1.2a.2,,2.84,,Pale yellow radioactive mineral,Transparent,,,,,,"Irregular/Uneven, Conchoidal",,/g/1216lmg1,,2.84,,,IMA1973-061,approved mineral and/or valid name (A) (Q13406835),,,"Vitreous, greasy",,,4,,,,Mariya Efimovna Kazakova (Q50158590),9.CJ.15a,9.CJ.15,Uniaxial (-),[[Image:Radioactive.svg|25px]] [[Radioactive]],,n<sub>ω</sub> = 1.648 - 1.650 <br />n<sub>ε</sub> = 1.625 - 1.638,,,space group R-3m (Q15040834),,White,,9.CJ.15a,VIII/E.16,lovozerite group (Q3777734),R {{overline|3}} m,[[Trigonal]],,"Simple, complex, and polysynthetic twins, axis normal to (11 {{overline|2}} 4)",Mount Karnasurt (Q23829145),"1,168.92",
767,kegelite,,,,,"Kegelite microcrystals with a 1 cm. siderite crystal at right, from the [[type locality (geology)|type locality]]",[[Phyllosilicates]],Perfect on {100},,Kegelite,,71.05.01.01,,,,,Transparent to translucent,,,,,,,/m/07k5hmt,,,4.5,,Pseudohexagonal plates in spherical aggregates,IMA1974-042,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,,no data,,,Kegelite,Friedrich Wilhelm Kegel (Q5503940),9.EC.80,9.EC.80,Biaxial (-),,,n = 1.81 parallel to {100},,,,kegelitt,White,white (Q23444),9.EC.80,VIII/H.09,phyllosilicates (Q429681),,[[Monoclinic]] <br/>Unknown space group,Extremely flexible,,Tsumeb mine (Q23723997),,
768,keilite,,,,,,Hexoctahedral,Distinct/Good,,,cubic crystal system (Q473227),2.8.1.9,,3.958,,,Opaque,,,,,,,/m/02ptmlx,,,3.958,,Microscopic crystals,IMA2001-053,approved mineral and/or valid name (A) (Q13406835),,,Metallic,2780789177,,,,81.91 gm,Keilite,Klaus Keil (Q1313541),2.CD.10,2.CD.10,,,,,,,,,,,2/C.15-15,II/C.15,galena mineral group (Q3777700),''Fm {{overline|3}} m'' (No. 225),Isometric,Brittle,,Abee meteorite (Q318284),a=5.1717(18)Å,
769,kenhsuite,,,,,"Kenhsuite and cinabrio.Oriental mine, Chóvar (Castellón)Spain.",Silphohalide mineral,,,Kenhsuite,orthorhombic crystal system (Q648961),,,,,Halide-sulfide mineral,Transparent,,,,,,,,/g/120n35pc,,,,Acicular crystals,IMA1996-026,approved mineral and/or valid name (A) (Q13406835),,,,,,2-3,,,Kenhsuite,Kenneth Hsu (Q707230),2.FC.15b,2.FC.15b,,,,,,,,,,,,II/F.14,sulfide class of minerals (Q927407),,Orthorhombic,,,McDermitt mercury mine (Q49430826),,
770,kentbrooksite,,,,,,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),None,,Kentbrooksite,trigonal crystal system (Q588274),64.1.2.1,,3.10 (measured),,,Transparent,,,,,,Uneven,,/g/120jr4nd,,,,aggregates (anhedral to subhedral),IMA1996-023,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,,5-6,,,Kentbrooksite,Charles Kent Brooks (Q48865596),9.CO.10,9.CO.10,Uniaxial (-),[[Pyroelectricity|Pyroelectric]],None,"nω=1.63, nε=1.62 (approximated)",,,space group R3m (Q15040828),,White,white (Q23444),9.CO.10 (10 ed) <br/><small>8/E.23-20 (8 ed)</small>,VIII/E.23,eudialyte mineral group (Q3777578),''R3m'',[[Trigonal]],Brittle,,,"a = 14.24, c = 30.03&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3",
771,kermesite,,,,,,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,"Perfect {100}, parting on {010}",,Kermesite,triclinic crystal system (Q376927),02.13.01.01,2.13.1.1,,,,"Translucent, Opaque",,,,,,Brittle,/m/0c2yv9,,0136171,4.5–4.8+,,"Acicular, fibrous, radial",,grandfathered mineral (G) (Q13406846),Kermesite,303.0,Adamantine to semimetallic,,2187,1–2,,,Kermesite,kermes (Q906954),2.FD.05,2.FD.05,Biaxial (+),,None,nα = 2.720 nβ = 2.740 nγ = 2.740,,,,,Brownish red,,2.FD.05,II/F.11,sulfide class of minerals (Q927407),''P'' {{overline|1}},[[Triclinic]],Sectile,,Bräunsdorf (Q995614),,
772,kernite,80°,,,δ =0.0340,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,"Perfect on [100] and [001], good on [201]",,Kernite,monoclinic crystal system (Q624543),,,,"Kernite, a new sodium borate (Q29982641)",,,,7902.0,science/kernite,,,Splintery,/m/04bc0,,"['0118520', '0137035']",1.9 - 1.92,,Crystalline - occurs as well-formed coarse sized crystals,,grandfathered mineral (G) (Q13406846),Kernite,1395.0,Vitreous - pearly,2777871802,,2.5-3,,273.22 g/mol,'''Kernite''',Kern County (Q108047),6.DB.05,6.DB.05,Biaxial (-),"Non-radioactive, non-fluorescent, non-magnetic",,"n<sub>α</sub>=1.454, n<sub>β</sub>=1.472, n<sub>γ</sub>=1.488",,,,kernitt,White,white (Q23444),6.DB.05,V/J.04,inoborate mineral subclass (Q13221581),''P2''<sub>1</sub>/c,[[Monoclinic]],Brittle,,Kramer district (Q29994365),a = 7.0172(2) <br/>b = 9.1582(2) <br/>c = 15.6774(5)&nbsp;[Å] <br/>β = 108.861(2)°; Z&nbsp;=&nbsp;4,
773,kernowite,,,,,"[[Unit cell]] of kernowite, based on [[X-ray crystallography]] of the [[isostructural]] mineral [[liroconite]].",[[Arsenate minerals]],,,,monoclinic crystal system (Q624543),,,,,Copper iron arsenate mineral,,,,,,,,,/g/11qp_2828d,,,,,IMA2020-053,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,Kernowite,Cornwall (Q23148),,,,,,,,,space group 15 (Q13365574),,,,,,arsenate mineral (Q4796437),,Monoclinic,,,Wheal Gorland (Q7991793),,
774,kesterite,,,,,,Disphenoidal ( {{overline|4}} ) <br/>[[H-M symbol]]: ( {{overline|4}} ),None,,Kësterite,,,,,,,Opaque,,,,,,,/m/0h98dn2,,,4.54–4.59 (meas.); 4.524 (calc.),,"Massive, pseudocubic",,grandfathered mineral (G) (Q13406846),,,Metallic,2775851497,,4.5,,,Kesterite,Kester tin deposit (Q28122559),3.CB.15a,2.CB.15a,,,,,,,,,Black,black (Q23445),2.CB.15a,II/C.06,"['stannite mineral group (Q3777820)', 'CZTS (Q424930)']",''I'' {{overline|4}},[[Tetragonal]],,,Kester tin deposit (Q28122559),"a = 5.427, c = 10.871&nbsp;[Å]; Z&nbsp;=&nbsp;2",
775,keyite,,,,0.070,Keyite on [[adamite]] (greenish),Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,good (001) cleavage,,Keyite,,,,5.106g/cm<sup>3</sup>,,,translucent,,,,,,,/m/0dd8qp6,,,,,"prismatic, tabular",IMA1975-002,approved mineral and/or valid name (A) (Q13406835),,,,,,3.5 - 4,,"1,520.19 g/mol",Keyite,Charles L. Key (Q18670008),8.CA.50,8.CA.50,biaxial,,"x: pale blue, y: greenish blue, z: deep blue","nα = 1.800, nβ, and nγ  = 1.870",,,,,light blue,light blue (Q1602687),8.CA.50,VII/C.30,alluaudite mineral group (Q3777536),''I2/a'',[[Monoclinic]],,,Tsumeb mine (Q23723997),a = 11.654(3)&nbsp;Å <br/>b = 12.780(5)&nbsp;Å <br/>c = 6.840(3)&nbsp;Å <br/>β = 99.11°; Z&nbsp;=&nbsp;2,
776,khatyrkite,,,,,Khatyrkite sample.,Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m),"{100}, distinct",,Khatyrkite,tetragonal crystal system (Q503601),,,,,,Opaque,,,,,,,/m/076vb5t,,,4.42 (calculated),,Prismatic crystals and intergrowths with cupalite,IMA1983-085,approved mineral and/or valid name (A) (Q13406835),,,Metallic,2776688229,,5–6,,,Khatyrkite,Khatyrka meteorite (Q15132969),1.AA.15,1.AA.15,"Distinctly anisotropic, grayish yellow to brownish red",,,,,,space group I4/mcm (Q15027437),,Dark gray,,1.AA.15,I/A.03,native element class of minerals (Q723127),''I4/mcm'',[[Tetragonal]],Malleable,,Khatyrka meteorite (Q15132969),"a = 6.06, c = 4.87&nbsp;[Å]; Z&nbsp;=&nbsp;4",
777,khinite,20<sup>o</sup>,,,δ = 0.055,"Dark green Khinite crystals from the type locality (Bird Nest Drift, San Bernardino County, California, United States of America).",[[Tellurate minerals]],{001} fair,,Khinite,orthorhombic crystal system (Q648961),33.1.3.1,,,,,Semitransparent,,,,,None,,,/g/121vrg5y,,6.5-7.0 (measured)  6.69 (calculated),,Dipyramidal or curved crystals,IMA1978-035,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,,3.5,,,Khinite,Basaw Khin (Q50239041),4.FD.30,4.FD.30,Biaxial (+) (khinite) Uniaxial (-) (parakhinite),,Yellow green - emerald green,,,Soluble in cold acids,,,Green,green (Q3133),4.FD.30,IV/K.15,"['hydroxide auxiliary subclass of minerals (Q13379369)', 'tellurium oxysalt family (Q19866412)']",,[[Orthorhombic]],Brittle,,Tombstone Historic District (Q7818729),"Khinite-4O: <br/>a = 5.740&nbsp;Å, <br/>b = 9.983&nbsp;Å, <br/>c = 23.960&nbsp;Å, Z&nbsp;=&nbsp;8 <br/>Khinite-3T (parakhinite): <br/>a = 5.753&nbsp;Å, <br/>c = 17.958&nbsp;Å, Z&nbsp;=&nbsp;3",
778,khmaralite,"Measured: 34° , Calculated: 28°",,,δ = 0.016,Khmaralite crystal,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,None,,,,,,,,,Transparent,"r > v, very strong",,,,,[[Brittle]] (Uneven) Very brittle fracture producing uneven fragments,,/g/120vzxyd,,3.76,,"[[Foliation (geology)|Foliated]], [[tabular habit|tabular]], or made of many habits",IMA1998-027,approved mineral and/or valid name (A) (Q13406835),,,[[Vitreous lustre|Vitreous]],,,7,,,Khmaralite,Khmara Bay (Q143553),9.DH.50,9.DH.45,"[[Biaxial]] (-), a=1.725, b=1.74, g=1.741",No information on health risks for this material has been entered into the database. Mineral specimens should always be treated with care.,,,,,,,Green-grey,,9.DH.50,VIII/F.15,sapphirine group (Q3777807),''P2''<sub>1</sub>/b,[[Monoclinic]],,None,Khmara Bay (Q143553),"a = 18.8, b = 14.371 <br/>c = 11.254&nbsp;[Å], β = 125.53°, Z&nbsp;=&nbsp;4",
779,khomyakovite,,,15137286n,,,Ditrigonal pyramidal (3m) <br/>[[H-M symbol]]: (3m),None,,Khomyakovite,trigonal crystal system (Q588274),64.1.2.5,,3.14 (calculated),,,Transparent to translucent,,,,,,Uneven,,/g/121k370g,,,,aggregates (anhedral to subhedral),IMA1998-042,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,,5-6,,,Khomyakovite,Alexander P. Khomyakov (Q16802201),9.CO.10,9.CO.10,Uniaxial (-),,None,"nω=1.63, nε=1.63 (approximated)",,,space group R3m (Q15040828),,White,white (Q23444),9.CO.10 (10 ed) <br/><small>8/E.23-30 (8 ed)</small>,VIII/E.23,eudialyte mineral group (Q3777578),''R3m'',[[Trigonal]],Brittle,,Poudrette quarry (Q23790564),"a = 14.30, c = 30.08&nbsp;[Å] (approximated); Z&nbsp;=&nbsp;3","Entity[""Mineral"", ""Khomyakovite""]"
780,kieserite,55°,,,δ = 0.064,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,{110} and {111} perfect,,Kieserite,monoclinic crystal system (Q624543),29.6.2.1,,,,,Transparent to translucent,"r > v, moderate",,science/kieserite,,,Uneven,/m/037d6p,,0118548,2.57,2063242,"Massive, granular; rarely as pyramidal crystals",IMA1967 s.p.,approved mineral and/or valid name (A) (Q13406835),Kieserite,422.0,Vitreous to dull,2778268620,,3.5,"{'amount': '+3.5', 'unit': '1'}",,Kieserite,Dietrich Georg von Kieser (Q71911),7.CB.05,7.CB.05,Biaxial (+),,,nα = 1.520 nβ = 1.533 nγ = 1.584,,In water,,kieseritt,White,white (Q23444),7.CB.05,VI/C.01,kieserite structural group (Q3777710),''C2/c'',[[Monoclinic]],Fragile,"Contact on {001}, polysynthetic about [110]",Staßfurt (Q525409),"a = 7.51&nbsp;[[angstrom|Å]], b = 7.61&nbsp;Å <br/>c = 6.92&nbsp;Å; β = 116.17°; Z&nbsp;=&nbsp;4",
781,kinoite,"Measured: 68° , calculated: 64°",,,δ = 0.038,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,"excellent {010}, distinct {001} and {100}",,Kinoite,monoclinic crystal system (Q624543),,57.1.2.1,,,,Transparent,relatively weak,,,,,,/m/09dg06,,,3.13 - 3.19,,,IMA1969-037,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,2781382602,,{{frac|2|1|2}},,450amu,Kinoite,Eusebio Kino (Q45185),9.BH.10,9.BH.10,Biaxial (-),,Strong,n<sub>α</sub> = 1.638 n<sub>β</sub> = 1.665 n<sub>γ</sub> = 1.676,,,space group P2₁/m (Q13365570),,,,9.BH.10,VIII/C.31,sorosilicates (Q11515488),''P2''<sub>1</sub>/m,[[Monoclinic]],,,,"a = 6.99, b = 12.88 <br/>c = 5.65&nbsp;[Å]; β = 96.18°; Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Kinoite""]"
782,kleinite,,,,δ = 0.020,Kleinite atop [[quartz]] from the McDermitt Mine,Dihexagonal dipyramidal 6/mmm (6/m 2/m 2/m),"Uneven on {0001}, imperfect on {10 {{overline|1}} 0}",,Kleinite,hexagonal crystal system (Q663314),,10.4.3.1,,,,Transparent to translucent,,,,,,,,/g/1215ckgf,,7.9-8.0,,"Short prismatic to equant crystals exhibiting prominent {10 {{overline|1}} 0}, {20 {{overline|2}} 1}, and {0001}",,grandfathered mineral (G) (Q13406846),,,Adamantine to greasy,,,3.5,,,Kleinite,Carl Klein (Q108033),3.DD.35,3.DD.35,Uniaxial (+) (Biaxial below 130&nbsp;°C (biaxial negative) and uniaxial above 130&nbsp;°C (uniaxial positive). Isotropic above ~ 190&nbsp;°C),"Color deepens on exposure to daylight, original color returns in darkness",,n<sub>ω</sub> = 2.190 n<sub>ε</sub> = 2.210,,,space group P6₃/mmc (Q15041650),,Sulfur yellow,,3.DD.35,III/D.06,halide class of minerals (Q729283),,Hexagonal,Brittle,,Terlingua district (Q26474954),"a = 6.762(2) Å, c = 11.068(3) Å, Z=4",
783,knorringite,,,,,,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),None,,,cubic crystal system (Q473227),,51.4.3a.4,,,,Semitransparent,,,,,,,/m/0633xg,,,3.756,,Massive and as minute grains,IMA1968-010,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,2781210286,,6 - 7,,,Knorringite,Oleg von Knorring (Q17549040),9.AD.25,9.AD.25,Isotropic,,,n = 1.803,,,space group Ia-3d (Q15041898),,,,9.AD.25,VIII/A.08,garnet mineral group (Q3777512),''I''a {{overline|3}} d,[[Cubic crystal system|Cubic]],,,,a = 11.59&nbsp;Å; Z&nbsp;=&nbsp;8,
784,kobellite,,,,,,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),,,Kobellite,orthorhombic crystal system (Q648961),,,,,,,,,,,,,/m/04fdh,,,,,,,grandfathered mineral (G) (Q13406846),,,,,,,,,Kobellite,Wolfgang Franz von Kobell (Q76459),2.HB.10a,2.HB.10a,,,,,,,,,,,2.HB.10a,II/E.33,kobellite mineral group (Q3777712),''Pnnm'' (no. 58),[[Orthorhombic]],,,,,"Entity[""Mineral"", ""Kobellite""]"
785,kochite,,,,0.0340,,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,{100} perfect,,,triclinic crystal system (Q376927),,,,,,Transparent,,,,,,Uneven,/m/0ddcp9m,,,3.32,,Acicular to lath-shaped prismatic crystals,IMA2002-012,"['approved mineral and/or valid name (A) (Q13406835)', 'redefined mineral (Rd) (Q13406872)']",,,Vitreous,,,5,,,Kochite,Lauge Koch (Q719640),9.BE.22,9.BE.22,Biaxial (+),,"weak, colorless to pale brownish-yellow","n<sub>α</sub>=1.684, n<sub>β</sub>=1.695, n<sub>γ</sub>=1.718",,,space group P-1 (Q104519742),,White,white (Q23444),,VIII/C.12,rosenbuschite mineral group (Q3777805),''P'' {{overline|1}},[[Triclinic]],Brittle,,,"a = 10.03, b = 11.33 <br/>c = 7.202&nbsp;[Å]; α = 90.19° <br/>β = 100.33°, γ = 111.55°; Z&nbsp;=&nbsp;2",
786,kogarkoite,"Small, approaching zero",,,δ = 0.003,,Pyramidal (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Kogarkoite,monoclinic crystal system (Q624543),,,,,,Transparent to translucent,,,,,Cream to pale blue under SW UV and green under LW UV,,/m/01k52b,,,2.66,,"Tabular crystals, granular, earthy aggregates, pseudorhombohedral",IMA1970-038,approved mineral and/or valid name (A) (Q13406835),,,Vitreous to dull,,,3.5,,,Kogarkoite,Liâ Nikolaevna Kogarko (Q15030375),7.BD.15,7.BD.15,Biaxial (+),,,n<sub>α</sub> = 1.439 n<sub>β</sub> = 1.439 n<sub>γ</sub> = 1.442,,Slowly soluble in water,,,White,white (Q23444),7.BD.15,VI/B.12,sulfate class of minerals (Q764802),''P2''<sub>1</sub>/m,[[Monoclinic]],,Common,Mount Alluaiv (Q959258),"a = 18.07, b = 6.94 <br/>c = 11.44&nbsp;[Å]; β = 107.72°; Z&nbsp;=&nbsp;12","Entity[""Mineral"", ""Kogarkoite""]"
787,kolbeckite,,,,,"Light-green spherical aggregates of microcrystals of '''Kolbeckite,''' to just over 1mm in size. Locality: Schlarbaum quarry, Klause, [[Bad Gleichenberg]], [[Styria]], Austria.  Size: 4.9 x 3.9 x 2.3 cm.",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Kolbeckite,monoclinic crystal system (Q624543),,,,,,,,,,,,,/m/09_pwx,,,,,,IMA1987 s.p.,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,Kolbeckite,Friedrich Kolbeck (Q15428460),8.CD.05,8.CD.05,,,,,,,,,,,8.CD.05,VII/C.09,phosphosiderite mineral group (Q3777692),''P2''<sub>1</sub>/n,[[Monoclinic]],,,,,
788,kornerupine,Measured: 3° to 48°,,,δ = 0.014,,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),Good on {110},,Kornerupine,orthorhombic crystal system (Q648961),58.01.01.01,58.1.1.1,,"['Kornerupin (Q63681215)', 'Undersøgelse af Mineralier fra Grønland (Q39433545)']",,Transparent to translucent and opaque,,,,,,,/m/0fjmmj,,,3.29 - 3.35,,"Prismatic crystals, radiating, massive, fibrous",,grandfathered mineral (G) (Q13406846),,1264.0,Vitreous,2777669881,,6 to 7,,,Kornerupine,Andreas Nicolaus Kornerup (Q5919664),9.BJ.50,9.BJ.50,Biaxial (-),,"X = colorless to green; Y = colorless, pale brownish yellow, pale yellowish green; Z = pale brownish green, green, light amber",n<sub>α</sub> = 1.660 - 1.671 n<sub>β</sub> = 1.673 - 1.683 n<sub>γ</sub> = 1.674 - 1.684,prismatine (Q3922164),,space group Cmcm (Q104519761),kornerupin,White,white (Q23444),9.BJ.50 (10 ed) <br /><small>VIII/B.31-10 (8 ed)</small>,VIII/B.31,sorosilicates (Q11515488),''Cmcm'',[[Orthorhombic]],,,,"a = 15.99, b = 13.7, c = 6.7&nbsp;[Å]; Z&nbsp;=&nbsp;4",
789,kosmochlor,,,,δ = 0.015,"Chromite (metallic black), kosmochlor pyroxene (emerald green to dark green to black), chromian jadeite pyroxene (green), chromiferous arfvedsonite amphibole (green or gray), symplectite (green, a finely-crystalline mineral mix of mostly chromian jadeite)",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Good on {110} parting on {001},,Kosmochlor,monoclinic crystal system (Q624543),,65.1.3c.4,,,,Semitransparent,r > v,,science/kosmochlor,,,,/m/012srt11,,,3.51-3.60,,Prismatic crystals and fibrous aggregates,IMA1988 s.p.,redefined mineral (Rd) (Q13406872),,,Vitreous,2779651709,,6,,,Kosmochlor,"['universe (Q1)', 'green (Q3133)']",9.DA.25,9.DA.25,Biaxial (-),,"X = yellowish green; Y = blue-green, grass-green; Z = emerald-green",n<sub>α</sub> = 1.766 n<sub>γ</sub> = 1.781,diopside (Q316671),,space group C2/c (Q103888918),,Light green,green (Q3133),9.DA.25,VIII/F.01,pyroxenes (Q192880),''C2/c'',[[Monoclinic]],,"Simple, lamellar on {100} and {001}",Toluca meteorite (Q1625058),"a = 9.57, b = 8.71 <br/>c = 5.26 Å; β = 107.49°; Z&nbsp;=&nbsp;4",
790,kosnarite,,,,δ = 0.026,,Hexagonal Scalenohedral ( {{overline|3}} )m ( {{overline|3}} )2/m) <br/><small>(same [[H-M symbol]])</small>,Perfect at {102},,Kosnarite,trigonal crystal system (Q588274),,38.4.12.1,,,,Transparent to translucent,,,,,,Conchoidal fracture,,/g/12125b3m,,3.2,,Rhombohedral with tiny c pinacolid,IMA1991-022,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,,4.5,,,Kosnarite,Richard A. Kosnar (Q50309070),8.AC.60,8.AC.60,uniaxial (+),,,N<sub>w</sub> = 1.656(2) <br/>N<sub>c</sub> = 1.682(2),,,,,White,,7/A. 17-10,VII/A.17,phosphate class of minerals (Q3092395),''R'' {{overline|3}} c,[[Trigonal]] [[Hexagonal crystal family]],,Not observed,,"a = 8.687&nbsp;[[Ångström|Å]], <br/>c = 23.877&nbsp;Å; V= 1,560.45 Å³",
791,kostovite,,,,,,Pyramidal (mm2) <br/>[[H-M Symbol]]: (mm2),Distinct/good,,,,02.12.13.4,,,,,Opaque,,,,,,,/m/0jt4dwd,,,7.94,,,IMA1965-002,approved mineral and/or valid name (A) (Q13406835),,,Metallic,,,2 - 2.5,,,Kostovite,Ivan Kostov Nikolov (Q6096688),2.EA.15,2.EA.15,[[Anisotropic]],,Visible,,,,,,,,2.EA.15 (10 ed) <br/><small>2/D.16-10 (8 ed)</small>,II/D.16,sulfide class of minerals (Q927407),''Pma2'',[[Orthorhombic]],Brittle,Fine lamellar,,,
792,kottigite,,,,δ = 0.049,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Perfect on {010},,Köttigite,,40.3.6.5,,,"A System of Mineralogy, 3rd edition (Q34745346)",,Translucent,,,,,,Fibrous fracture yields a silky lustre,/m/010lstvz,,,3.33,,Crystals prismatic [001] and flattened {010}. Also in crusts with a crystalline surface and fibrous structure,,grandfathered mineral (G) (Q13406846),,,,2779953005,,{{frac|2|1|2}} to 3,,618.13 g/mol,'''Köttigite''',Otto Friedrich Köttig (Q18575051),8.CE.40,8.CE.40,Biaxial (+),Not fluorescent,"Visible. X, Y = colourless, Z = pale red.",n<sub>α</sub> = 1.622<br>n<sub>β</sub> = 1.638<br>n<sub>γ</sub> =  1.671,,Soluble in acids,,,Reddish-white to white,,8.CE.40 (10 ed.) <small><br/>VII/C.13-90 (8 ed.)</small>,VII/C.13,vivianite mineral group (Q3777850),''C2/m'',[[Monoclinic]],Flexible,,Daniel mine (Q23900599),,"Entity[""Mineral"", ""Kottigite""]"
793,kovdorskite,80°-82° (measured),,,δ = 0.022,,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Kovdorskite,,43.05.08.01,,,,,,"''r'' > ''v'', very weak",,,,,Conchoidal to uneven,/m/012z8b3x,,,"2.28 (measured), 2.30 (calculated)",,Rough prismatic,IMA1979-066,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,,4,,,Kovdorskite,Kovdor massif (Q23828038),8.DC.22,8.DC.22,Biaxial (-),,,n<sub>α</sub> = 1.527 n<sub>β</sub> = 1.542 n<sub>γ</sub> = 1.549,,,,,,,8.DC.22,VII/D.36,phosphate class of minerals (Q3092395),''P2''<sub>1</sub>/n,[[Monoclinic]],,,Kovdor Zheleznyi mine (Q23828035),"a = 10.35, b = 12.90 <br/>c = 4.73&nbsp;[Å]; Z&nbsp;=&nbsp;4",
794,kremersite,,,,,,,,,Kremersite,,,,,Das Mohs'sche Mineralsystem (Q30130210),,,,,,,,,/m/06fsd8,,,,,,,grandfathered mineral (G) (Q13406846),,,,,,,,,,Peter Kremers (Q52003541),3.CJ.10,3.CJ.10,,,,,,,,,,,,III/C.07,halide class of minerals (Q729283),,,,,Mount Vesuvius (Q524),,
