Unnamed: 0	name	category	formula	strunz	system	symmetry	unit cell	color	cleavage	fracture	mohs	luster	opticalprop	streak	gravity	diaphaneity	refractive	class	birefringence	habit
794	Lawsonite	Sorosilicate	CaAl<sub>2</sub>Si<sub>2</sub>O<sub>7</sub>(OH)<sub>2</sub>·H<sub>2</sub>O	9.BE.05	Orthorhombic	''Cmcm''	a = 5.847, b = 8.79 <br/>c = 13.128&nbsp;[Å]; Z&nbsp;=&nbsp;4	Colorless, white, pale blue to grayish blue	Perfect on {100} and {010}, imperfect on {101}		7.5	Vitreous, greasy	Biaxial (+)	White	= 3.05 - 3.12	Translucent	n<sub>α</sub> = 1.665 n<sub>β</sub> = 1.672 - 1.676 n<sub>γ</sub> = 1.684 - 1.686	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	δ = 0.019 - 0.021	Commonly prismatic, tabular; also granular, massive
795	Lazulite	Phosphate mineral	{{chem2|(Mg,Fe(2+))Al2(PO4)2(OH)2}}	8.BB.40	Monoclinic	''P2''<sub>1</sub>/c	a = 7.144(1), b = 7.278(1) <br/>c = 7.228(1)&nbsp;[Å]; β = 120.5(1)°; Z&nbsp;=&nbsp;2	Azure-blue, sky-blue, bluish white, yellow-green, blue-green, rarely green	Poor to good on {110}, indistinct on {101}	Uneven, splintery	5.5 - 6.0	Vitreous	Biaxial (-)	White	3.122 – 3.240	Transparent to translucent to nearly opaque	n<sub>α</sub> = 1.604 - 1.626 n<sub>β</sub> = 1.626 - 1.654 n<sub>γ</sub> = 1.637 - 1.663	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.033 - 0.037	Tabular, acute to stubby bipyramidal crystals; granular, massive
796	Lazurite	Tectosilicate	{{chem2|(Na,Ca)8[(S,Cl,SO4,OH)2|!|(Al6Si6O24)]}} {{!}} (Al6Si6O24)]	9.FB.10	Cubic crystal system,Isometric	''P'' {{overline|4}} 3n	a = 9.09&nbsp;[[Ångstrom|Å]]; Z&nbsp;=&nbsp;2	Deep blue, azure, violet-blue, greenish blue	Imperfect on {110}	Uneven	5–5.5	Vitreous	Isotropic; anomalously anisotropic		2.38–2.45	Translucent to opaque	1.502–1.522	Hextetrahedral ( {{overline|4}} 3m) <br/>[[H-M symbol]]: ( {{overline|4}} 3m)		Crystals occur as dodecahedra, or rarely cubes; granular, disseminated, or massive
798	Leadhillite	Carbonate minerals	Pb<sub>4</sub>SO<sub>4</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>	5.BF.40	Monoclinic	''P2''<sub>1</sub>/a	a = 9.11, b = 20.82 <br/>c = 11.59&nbsp;[Å]; β = 90.46°; Z&nbsp;=&nbsp;8	Colourless to white, grey, yellowish, pale green to blue	Perfect on {001}	Irregular to conchoidal	{{frac|2|1|2}} to 3	Adamantine, resinous, pearly	Biaxial (-)	White	6.55	Transparent to translucent	n<sub>α</sub> = 1.87, n<sub>β</sub> = 2.00, n<sub>γ</sub> = 2.01	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	0.140	Usually pseudo-hexagonal, thin to thick tabular {001} with hexagonal outline
799	Legrandite	Arsenate minerals	Zn<sub>2</sub>(AsO<sub>4</sub>)(OH)·(H<sub>2</sub>O)	8.DC.10	Monoclinic	''P2''<sub>1</sub>/c	a = 12.805(2), b = 7.933(1) <br/>c = 10.215(2)&nbsp;[Å]; β = 104.23°; Z&nbsp;=&nbsp;8	Bright yellow, wax-yellow, colorless	Imperfect, poor one {100}	Conchoidal	4.5-5	Vitreous	Biaxial (+)	White	3.98–4.01	Transparent to translucent	n<sub>α</sub> = 1.675 - 1.702 n<sub>β</sub> = 1.690 - 1.709 n<sub>γ</sub> = 1.735 - 1.740	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.060	Crystalline, prismatic, typically in sprays or sheaflike aggregates
800	Leifite	Silicate mineral	{{chem2|Na7Be2(Si15Al3)O39(F,OH)2}}	9.EH.25 (10 ed) <br/><small>8/J.10-10 (8 ed)</small>	Trigonal	''P'' {{overline|3}} m1		white, colourless to pale violet	Distinct on {10 {{overline|1}} 0}	Uneven to splintery	6	Silky to vitreous	Uniaxial (+)	White	2.6	Transparent to translucent	n<sub>ω</sub> = 1.516 and n<sub>ε</sub> = 1.520.	Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m)	δ = 0. 011	Typically radiating aggregates of fine needles
801	Leightonite	Sulfate minerals	K<sub>2</sub>Ca<sub>2</sub>Cu(SO<sub>4</sub>)<sub>4</sub>•2H<sub>2</sub>O	7.CC.70	Monoclinic	''C2/c''		Pale blue, greenish-blue; pale blue in transmitted light.	None observed		3	Vitreous	Biaxial (-)		2.95	Transparent, translucent	n<sub>α</sub> = 1.578 n<sub>β</sub> = 1.587 n<sub>γ</sub> = 1.595	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.017	Lathlike crystals, flattened, elongated or equant; pseudo-orthorhombic
802	Lepidocrocite	Oxide minerals	γ-FeO(OH)	4.FE.15	Orthorhombic	''Cmcm''	a = 3.88, b = 12.54 <br/>c = 3.07&nbsp;[Å]; Z&nbsp;=&nbsp;4	Ruby-red to reddish brown; light reddish to red-orange in transmitted light; gray-white in reflected light	{010} Perfect		5	sub metallic	Biaxial (-)	Dull orange	4	Transparent	n<sub>α</sub> = 1.940 n<sub>β</sub> = 2.200 n<sub>γ</sub> = 2.510	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	δ = 0.570	Flattened scales aggregated into plumose groups and rosettes; massive, bladed to fibrous or micaceous
803	Lepidolite	Phyllosilicate	{{chem2|K(Li,Al)3(Al,Si,Rb)4O10(F,OH)2}}	9.EC.20	Monoclinic	''C''2/m, ''Cm''	a = 5.209(2)&nbsp;[[angstrom|Å]], b = 9.011(5)&nbsp;Å,  <br />c = 10.149(5)&nbsp;Å; <br />β = 100:77(4)°; Z&nbsp;=&nbsp;2	Pink, light purple, purple, rose-red, violet-gray, yellowish, white, colorless other colors possible but are rare.	{001} perfect	Uneven	2.5–3	Vitreous to pearly	Biaxial (-)	White	2.8–2.9	Transparent to translucent	n<sub>α</sub>=1.525–1.548, n<sub>β</sub>=1.551–1.58, n<sub>γ</sub>=1.554–1.586	Prismatic (2/m) <br /><small>(same [[H-M symbol]])</small>	0.0290–0.0380	Tabular to prismatic pseudohexagonal crystals, scaly aggregates and massive
804	Letovicite	Sulfate mineral	(NH<sub>4</sub>)<sub>3</sub>H(SO<sub>4</sub>)<sub>2</sub>	07.AD.20	Monoclinic	''C2/c'' (no. 15)		Colorless, white	Distinct on {001}	Uneven	1-2		Biaxial (-), colorless (transmitted light)		1.83	Transparent		Prismatic (2/m)		Tiny pseudo-hexagonal plates, granular
805	Leucite	Silicate minerals,tectosilicates	KAlSi<sub>2</sub>O<sub>6</sub>	9.GB.05	Tetragonal	''I4''<sub>1</sub>/a	a = 13.056, c = 13.751&nbsp;[Å]; Z&nbsp;=&nbsp;16	White to grey	Poor on {110}	Conchoidal	5.5 - 6	Vitreous	Uniaxial (+)		2.45-2.50	Transparent to translucent	n<sub>ω</sub> = 1.508 n<sub>ε</sub> = 1.509	Dipyramidal (4/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.001	Commonly as euhedral, pseudocubic crystals; rarely granular, massive
806	Leucophanite	Inosilicates	{{chem2|(Na,Ca)2BeSi2(O.OH.F)7}}	9.DH.05	Orthorhombic	''P2''<sub>1</sub>2<sub>1</sub>2<sub>1</sub>												Disphenoidal (222) <br/><small>(same [[H-M symbol]])</small>		
807	Leucophoenicite	Nesosilicates	Mn<sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>	9.AF.60	Monoclinic	''P2''<sub>1</sub>/a	a = 10.84&nbsp;Å <br/>b = 4.82&nbsp;Å <br/>c = 11.32&nbsp;Å <br/>β = 103.93°; Z&nbsp;=&nbsp;2		Imperfect on {001}		5.5 to 6	Vitreous	Biaxial (-)			Transparent to translucent	n<sub>α</sub> = 1.751<br>n<sub>β</sub> = 1.771<br>n<sub>γ</sub> = 1.782	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.031	
808	Lévyne	Zeolite		9.GD.15	Trigonal	''R'' {{overline|3}} m												Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m)		
809	Libethenite	Phosphate minerals	Cu<sub>2</sub>PO<sub>4</sub>OH	8.BB.30	Orthorhombic	''Pnnm''		Light to dark green, blackish green, olive-green	Indistinct on [100] and [010]	Irregular, uneven to conchoidal	4	Vitreous, greasy	Biaxial (-)	light green	3.6 - 4, Average = 3.8		nα = 1.701 - 1.704 nβ = 1.743 - 1.747 nγ = 1.787 - 1.790	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)		Globular, [[Druse (geology)|druzy]], slender prismatic
810	Liebigite	Carbonate mineral	Ca<sub>2</sub>(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·11H<sub>2</sub>O	5.ED.20	Orthorhombic	''Bba2''	a = 16.699, b = 17.557 <br/>c = 13.697&nbsp;[Å]; Z&nbsp;=&nbsp;8	Green to yellowish-green	Distinct on {100}		{{frac|2|1|2}} - 3	Vitreous, pearly	Biaxial (+)		2.41	Transparent, translucent	n<sub>α</sub> = 1.497 n<sub>β</sub> = 1.502 n<sub>γ</sub> = 1.539	Pyramidal (mm2) <br/><small>(same [[H-M symbol]])</small>	δ = 0.042	Rare as short prismatic crystals; scaly or granular, in aggregates, crusts, and films
811	Linarite	Sulfate minerals	PbCu[(OH)<sub>2</sub> SO<sub>4</sub>]	7.BC.65	Monoclinic	''P2''<sub>1</sub>/m	a = 9.701(2), b = 5.65 <br/>c = 4.69&nbsp;[Å]; β = 102.65°; Z&nbsp;=&nbsp;2	Deep azure blue	Perfect on {100}, imperfect on {001}	Conchoidal	2.5	Sub-adamantine, vitreous	Biaxial (-)	Pale blue	5.3 - 5.5	Transparent, translucent	n<sub>α</sub> = 1.809 n<sub>β</sub> = 1.838 n<sub>γ</sub> = 1.859	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.050	Crystals elongated and tabular; in crusts and aggregates
812	Lindgrenite	Molybdate mineral	Cu<sub>3</sub>(MoO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>	7.GB.05	Monoclinic	''P2''<sub>1</sub>/n	a = 5.394, b = 14.023 <br/>c = 5.608&nbsp;[Å]; β = 98.5°; Z&nbsp;=&nbsp;2	Green to yellowish green	Perfect on {010} and {101}, poor on {100}	Micaceous	4.5	Greasey	Biaxial (-)	Pale green	4.2	Transparent	n<sub>α</sub> = 1.930 n<sub>β</sub> = 2.002 n<sub>γ</sub> = 2.020	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.090	Tabular to platey crystals, may be acicular, massive or crust forming
813	Linnaeite	Sulfide mineral  Thiospinel group  Spinel structural group	Co<sup>+2</sup>Co<sup>+3</sup><sub>2</sub>S<sub>4</sub>	2.DA.05	Cubic crystal system,Cubic	''F''d {{overline|3}} m	a = 9.43&nbsp;Å; Z&nbsp;=&nbsp;8	Steel gray to gray violet	Imperfect on {001}	Subconchoidal	4.5-5.5	Metallic		Grayish-black	4.8-5.8	Opaque		Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m)		As octahedral crystals; massive, granular
814	Lipscombite	Phosphate minerals	(Fe<sup>2+</sup>,Mn<sup>2+</sup>)(Fe<sup>3+</sup>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>	8.BB.90	Tetragonal	''P''4<sub>3</sub>2<sub>1</sub>2	a = 5.37, c = 12.81&nbsp;[Å]; Z&nbsp;=&nbsp;4	Green gray, olive green, black.					Translucent to opaque		3.68			Trapezohedral (422) <br/><small>(same [[H-M symbol]])</small>		
815	Liroconite	Arsenate minerals	Cu<sub>2</sub>Al[(OH)<sub>4</sub> AsO<sub>4</sub>]·4(H<sub>2</sub>O)	8.DF.20	Monoclinic	''I2/a''	a = 12.66, b = 7.57 <br/>c = 9.89&nbsp;[Å]; β = 91.25°; Z&nbsp;=&nbsp;4	Bright blue to green	Indistinct on {110} and {011}	Irregular/uneven, conchoidal	2- {{frac|2|1|2}}	Vitreous to resinous	Biaxial (-)	Light blue	2.9 - 3	Transparent, translucent	n<sub>α</sub> = 1.612 n<sub>β</sub> = 1.652 n<sub>γ</sub> = 1.675	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.063	Typically as striated flattened octahedral or lenticular crystals, also massive to granular
816	Litharge	Oxide mineral 	PbO	4.AC.20	Tetragonal	''P''4/nmm		red	Distinct/Good. On {110}		2	greasy, dull				transparent		Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m)		
817	Lithiophilite	Phosphate minerals	{{chem2|LiMnPO4}}	8.AB.10	Orthorhombic	''Pmnb'' (if holohedral)		Clove-brown, yellowish brown, honey-yellow, salmon-pink, blue-gray, gray	[100] perfect, [110] and [011] poor	uneven to conchoidal	4–5	Vitreous to subresinous	Biaxial (+), 2V = 65°	White to grayish white	3.445–3.50	Transparent to translucent	n<sub>α</sub>=1.669, n<sub>β</sub>=1.673, n<sub>γ</sub>=1.682	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	δ =0.0130	Prismatic – crystals shaped like slender prisms, stout prismatic, large single crystals, massive, oriented overgrowths
818	Livingstonite	Sulfosalt mineral	HgSb<sub>4</sub>S<sub>8</sub>	2.HA.15	Monoclinic	''A2/a''	a = 30.567(6), b = 4.015(1) <br/>c = 21.465(3)&nbsp;[Å]; β = 103.39°; Z&nbsp;=&nbsp;8	Blackish gray; in polished section, white; red in transmitted light, with deep red internal reflections	Perfect on {001}, poor on {010} and {100}	Uneven, flat surfaces	2	Adamantine to metallic	Biaxial (–)	Red	4.8 - 4.88 meas. 4.98 calc.	Opaque, translucent in thin fragments	>= 2.72	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		As needles elongated [010], to 12 cm; also fibrous, massive, columnar, and in globular masses and interlaced needles.
819	Népouite	Phyllosilicates  Kaolinite-serpentine subgroup,serpentine group	{{chem2|Ni3(Si2O5)(OH)4}}	9.ED.15	Orthorhombic	''Ccm2<sub>1</sub>'' (no. 36)		bright green (typical of nickel bearing silicates) to yellowish or brownish green, depending on nickel content	perfect on {001}		2 to {{frac|2|1|2}}	earthy to waxy, also pearly	Biaxial (-)	greenish white	3.18 to 3.24 (''measured'')	semitranslucent	n<sub>α</sub> = 1.600 - 1.630 n<sub>γ</sub> = 1.635 - 1.650	Pyramidal (mm2) <br/><small>(same [[H-M symbol]])</small>	0.035	generally massive, also fibrous and microscopic pseudohexagonal platy crystals
820	Loellingite	Arsenide mineral	FeAs<sub>2</sub>	2.EB.15a	Orthorhombic	''Pnnm''	a = 5.16, b = 5.93 <br/>c = 3.05&nbsp;[Å]; Z&nbsp;=&nbsp;2	Steel grey to silvery white	Rare, distinct on {010}, {101}	Uneven	5-5.5	Metallic	Distinctly anisotropic in reflected light	Grayish black	7.1-7.5			Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)		Prismatic to pyramidal crystals, massive
821	Lonsdaleite		C	1.CB.10b	Hexagonal crystal system,Hexagonal	''P''6<sub>3</sub>/mmc	a = 2.51&nbsp;Å, c = 4.12&nbsp;Å; Z&nbsp;=&nbsp;4	Gray in crystals, pale yellowish to brown in broken fragments			7–8 (for impure specimens)	Adamantine	Uniaxial (+/-)		3.2	Transparent	n = 2.404	Dihexagonal dipyramidal (6/mmm) <br/>[[H-M symbol]]: (6/m 2/m 2/m)		Cubes in fine-grained aggregates
822	Loparite-(Ce)	Oxide minerals	{{chem2|(Ce,Na,Ca)(Ti,Nb)O3}}	4.CC.35	Loparit-Ce-Q tetragonal  Loparit-Ce-O orthorhombisch  Loparit-Ce-C cubic			Black to grey-brown in thin section	[100] Imperfect	uneven	5.5 - 6.0	Metallic to sub-metallic	Isotropic, anomalously anisotropic	reddish brown	4.60-4.89	opaque, transparent in thin fragments	n = 2.26–2.38			Cubic and octahedral crystals and massive
823	Lopezite	Sulfate minerals chromate	K<sub>2</sub>Cr<sub>2</sub>O<sub>7</sub>	7.FD.05	Triclinic crystal system,Triclinic	''P'' {{overline|1}}		Orange-red, red	Perfect<br>[010] perfect, [100] distinct, [001] distinct		{{frac|2|1|2}}	Vitreous		Light yellow	2.69	Transparent		Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>		Granular or spherical in small crystals on the natural environment. Prismatic on lab grown crystals.
824	Lorándite	Sulfosalt mineral	TlAsS<sub>2</sub>	2.HD.05	Monoclinic	''P2''<sub>1</sub>/a		Red to carmine-red, lead gray	[100] perfect, [001] distinct	Conchoidal	2.0–2.5	Sub-metallic – adamantine	Biaxial (+)	Cherry-red	5.53	Subtransparent	n<sub>α</sub> = 2.720	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		Prismatic tabular striated parallel to [001]
825	Lorenzenite	Silicate mineral	Na<sub>2</sub>Ti<sub>2</sub>[O<sub>3</sub> Si<sub>2</sub>O<sub>6</sub>]	9.DB.10	Orthorhombic	''Pbcn''	a = 8.71, b = 5.23 <br/>c = 14.48&nbsp;[Å]; Z&nbsp;=&nbsp;4	Pale purple-brown, pale pink to mauve, brown to black	Distinct/good on {010}	Irregular/uneven	6	Adamantine, vitreous, sub-metallic, dull	Biaxial (-)	White to pale brown	3.42 - 3.45	Transparent, opaque	n<sub>α</sub> = 1.910 - 1.950 n<sub>β</sub> = 2.010 - 2.040 n<sub>γ</sub> = 2.030 - 2.060	Dipyramidal (mmm) <br/>[[H–M Symbol]]: (2/m 2/m 2/m)	δ = 0.120	Equant, bladed, prismatic, to needlelike crystals; fibrous, felted, lamellar aggregates
826	Loveringite	Oxide minerals	{{chem2|(Ca,Ce)(Ti,Fe,Cr,Mg)21O38}}	4.CC.40	Trigonal	''R'' {{overline|3}}	a = 10.33, c = 20.67&nbsp;[Å]; Z&nbsp;=&nbsp;3	Black		conchoidal	7.5	Metallic	Uniaxial	Grayish black	4.41	Opaque		Rhombohedral ( {{overline|3}} ) <br/><small>(same [[H-M symbol]])</small>		Anhedral, can be acicular - occurs as needle-like crystals
827	Ludlamite	Phosphate mineral	{{chem2|(Fe,Mn,Mg)3(PO4)2*4H2O}}	8.CD.20	Monoclinic	''P2''<sub>1</sub>/a	a = 10.541(5), b = 4.646(4) <br/>c = 9.324(5)&nbsp;[Å]; β = 100.52°; Z&nbsp;=&nbsp;2	Apple-green to bright green	Cleavage: perfect on {001}, indistinct on {100}		3.5	Vitreous, pearly on cleavage	Biaxial (+)	Pale greenish white	3.12–3.19	Translucent	n<sub>α</sub> = 1.650 - 1.653 n<sub>β</sub> = 1.669 - 1.675 n<sub>γ</sub> = 1.688 - 1.697	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.038 - 0.044	Tabular crystals; massive, granular
828	Ludwigite	Borate mineral	Mg<sub>2</sub>Fe<sup>3+</sup>BO<sub>5</sub>	6.AB.30	Orthorhombic	''Pbam''	a = 9.26, b = 12.26 <br/>c = 3.05&nbsp;[Å]; Z&nbsp;=&nbsp;4	Pitch-black, olive-black	[001] Perfect	Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.	5.5	Silky to submetallic	Biaxial (+)	greenish black	3.6 - 3.8	Opaque, translucent in thin fragments	n<sub>α</sub> = 1.830 - 1.850 n<sub>β</sub> = 1.830 - 1.850 n<sub>γ</sub> = 1.940 - 2.020	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	δ = 0.110 - 0.170	Massive - fibrous commonly in fanlike to felted aggregates
829	Lulzacite	Phosphate minerals	Sr<sub>2</sub>Fe<sup>2+</sup>(Fe<sup>2+</sup>,Mg)<sub>2</sub>Al<sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>10</sub>	8.BK.25	Triclinic	''P'' {{overline|1}}		Grayish-green to yellowish-green	None		5.5–6	Vitreous	Biaxial (&minus;)		3.55	Transparent–translucent	''n''<sub>α</sub> = 1.654<br />''n''<sub>β</sub> = 1.674<br />''n''<sub>γ</sub> = 1.684	Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>	δ = 0.030	Anhedral aggregates; rarely small euhedral crystals
830	Lyonsite	Vanadate mineral	Cu<sub>3</sub>Fe<sup>+3</sup><sub>4</sub>(VO<sub>4</sub>)<sub>6</sub>	8.AB.40	Orthorhombic	''Pmcn''	a = 10.29, b = 17.2 <br/>c = 4.91&nbsp;[Å]; Z&nbsp;=&nbsp;2	Black; creamy white in reflected light in polished section	Good on {001}			Metallic		Dark gray	4.215 calculated	Opaque		Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)		As euhedral flattened lath shaped crystals
831	Larimar (Blue Pectolite)	Inosilicate mineral	NaCu<sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH) or NaCa<sub>2</sub>Si<sub>3</sub>O<sub>8</sub>(OH)(Calcium substitution by Copper produces the Blue Color)		Triclinic	''P'' {{overline|1}}	a = 7.99&nbsp;Å, b = 7.03&nbsp;Å, <br/>c = 7.03&nbsp;Å; α = 90.51°, <br/>β = 95.21°, γ = 102.53°; Z&nbsp;=&nbsp;2	Blue, blue-green, purple, as well as colorless	Perfect on {100} and {001}	Uneven	4.5 - 5	Silky, subvitreous	Biaxial (+)		2.84 - 2.90	Translucent to opaque	n<sub>α</sub> = 1.594 - 1.610 n<sub>β</sub> = 1.603 - 1.614 n<sub>γ</sub> = 1.631 - 1.642	Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>	δ = 0.037	Tabular to acicular, radiating fibrous, spheroidal, or columnar; massive
834	Calcite	Carbonate minerals	CaCO<sub>3</sub>	5.AB.05	Trigonal	''R'' {{overline|3}} c	''a'' = 4.9896(2)&nbsp;[[Ångstrom|Å]], <br/>''c'' = 17.0610(11)&nbsp;Å; ''Z''&nbsp;=&nbsp;6	Typically colorless or white - may have shades of various colors	Perfect on {10 {{overline|1}} 1} three directions with angle of 74° 55'	Conchoidal	3 (defining mineral)	Vitreous to pearly on cleavage surfaces	Uniaxial (−)	White	2.71	Transparent to translucent	''n''<sub>ω</sub> = 1.640–1.660<br> ''n''<sub>ε</sub> = 1.486	Hexagonal scalenohedral ( {{overline|3}} m) <br/>[[H-M symbol]]: ( {{overline|3}} 2/m)	δ = 0.154–0.174	Crystalline, granular, stalactitic, concretionary, massive, rhombohedral
835	Macaulayite	Phyllosilicate	([[Iron|Fe]]<sup>3+</sup>, [[Aluminium|Al]])<sub>24</sub>[[silicon|Si]]<sub>4</sub>[[Oxygen|O]]<sub>43</sub>([[Hydroxide|OH]])<sub>2</sub>	9.EC.65	Monoclinic  Unknown space group			red				earthy		light red						Earthy – Dull, clay-like texture with no visible crystalline affinities
836	Macdonaldite	Phyllosilicate	BaCa<sub>4</sub>Si<sub>16</sub>O<sub>36</sub>(OH)<sub>2</sub>·10H<sub>2</sub>O	9.EB.05	Orthorhombic	''Cmcm''	a = 14.06&nbsp;Å, b = 23.52&nbsp;Å, <br/>c = 13.08&nbsp;Å; Z&nbsp;=&nbsp;4	Colorless, white	{010} perfect, {001} good, {100} indistinct		3.5-4.0	Vitreous - silky	Biaxial (+/-), surface relief - low,	White	2.27	Transparent to translucent	n<sub>α</sub> = 1.518 n<sub>β</sub> = 1.524 n<sub>γ</sub> = 1.530	Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m)	0.012	Acicular also fibrous, in radiating aggregates; granular
837	Mackinawite	Sulfide mineral	{{chem|(Fe,Ni)|1+x|S}} (where x=0&nbsp;to&nbsp;0.11)	2.CC.25	Tetragonal	''P4/nmm''	a = 3.67&nbsp;Å, c = 5.03&nbsp;Å; Z&nbsp;=&nbsp;2	Bronze to white grey	Perfect on {001}		2.5	Metallic		Black	4.17	Opaque		Ditetragonal dipyramidal (4/mmm) <br/>[[H-M symbol]]: (4/m 2/m 2/m)		As well-formed thin tabular crystals; massive, fine-feathery
838	Madocite	Sulfosalt mineral	{{chem2|Pb17(Sb,As)16S41}}	2.LB.30	Orthorhombic	''Pb2a''	a = 27.2&nbsp; Å, b = 34.1&nbsp;Å, <br/>c = 8.12&nbsp;Å; Z&nbsp;=&nbsp;4	Grayish black	{010} Perfect	Conchoidal	3.25	Metallic		Grayish black, shining	5.98	Opaque		Pyramidal (mm2) <br/><small>(same [[H-M symbol]])</small>		Elongated and striated crystals; massive
839	Lake Magadi																			
840	Maghemite	Oxide minerals	γ-Fe<sub>2</sub>O<sub>3</sub>	4.BB.15	Cubic crystal system,Cubic with a tetragonal supercell	''P4''<sub>1</sub>32, ''P''4<sub>3</sub>32	a = 8.33&nbsp;Å; Z = 8 or a = 8.35&nbsp;Å c = 24.99&nbsp;Å; Z&nbsp;=&nbsp;8 for tetragonal supercell	Brown, bluish black; brown to yellow in transmitted light; white to bluish gray in reflected light.	None	Subconchoidal	5	Dull	Isotropic	Brown	4.860 (calculated)	Opaque, transparent in thin fragments		Gyroidal (432) <br/><small>(same [[H-M symbol]])</small>		Rarely as minute octahedral crystals, or acicular overgrowths; commonly as coatings on or replacements of magnetite; massive.
841	Magnesioferrite	Oxide minerals  Spinel group  Spinel structural group	Mg(Fe<sup>3+</sup>)<sub>2</sub>O<sub>4</sub>	4.BB.05	Cubic crystal system,Cubic	''F''d {{overline|3}} m	a = 8.3866&nbsp;Å; Z&nbsp;=&nbsp;8	Black to brownish black	On {{mset|111}}	Uneven	6 - 6.5	Metallic, semimetallic, dull	Isotropic	Dark red	4.55 – 4.65 measured	Opaque, transparent in thin fragments	n = 2.38	Hexoctahedral (m {{overline|3}} m) <br>[[H-M symbol]]: (4/m {{overline|3}} 2/m)		As octahedral crystals, massive granular
842	Magnesiohastingsite	Amphibole	NaCa<sub>2</sub>(Mg<sub>4</sub>Fe<sup>3+</sup>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>	9.DE.15 (10 ed) <br /><small>8/F.10-130 (8 ed)</small>	Monoclinic	''C2/m''		Green to dark green or black	Good on {110} with intersections at about 56° and 124°.  [[Cleavage (crystal)#Parting|Partings]] on {001}, {100}		5 to 6	Vitreous	Biaxial (-)	Pale grey-green to pale brownish-green	3.16 to 3.22	Subopaque		Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>		
843	Magnesiopascoite	Vanadate minerals	Ca<sub>2</sub>Mg(V<sub>10</sub>O<sub>28</sub>)&middot;16H<sub>2</sub>O	4.HC.05	Monoclinic	''C2/m''	a = 19.8442&nbsp;Å, <br/>b = 9.9353&nbsp;Å, <br/>c = 10.7149&nbsp;Å <br/>β = 120.305°; Z&nbsp;=&nbsp;2	Bright orange	Perfect on {001}	Conchoidal, curved	2.5	Adamantine	Biaxial (-)	Yellow		Transparent	n<sub>α</sub> = 1.769(3)<br>n<sub>β</sub> = 1.802(3)<br>n<sub>γ</sub> = 1.807(3)	Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>	δ = 0.038	
