,Chemical Formula,Composition,Empirical Formula,Environment,IMA Status,Locality,Name Origin,Name Pronunciation,Synonym,Cell Dimensions,Cleavage,Color,Density,Diaphaneity,Fracture,Habit,Hardness,Luster,Fermion Index,Photoelectric,Radioactivity,Dana Class,Strunz Class,References,Mineral name,Streak,Gladstone-Dale,Optical Data
1088, Fe++2Fe+++(SiFe+++)O5(OH)4, Molecular Weight = 399.50 gm, Fe2+2Fe3+2SiO5(OH)4, A low-temperature hydrothermal product in ore veins., Valid Species (Pre-IMA) 1821," Pribram and Kuttenberg, Bohemia of Czechoslovakia. Link to MinDat.org Location Data."," Named for Axel Fredrik Cronstedt (1722-1765), Swedish mineralogist and chemist.", Cronstedtite + Pronunciation,," a = 5.486, c = 7.095, Z = 1; V = 184.92 Den(Calc)= 3.59", {001} Perfect," Brownish black, Greenish black, Dark brown, Black."," 3.34 - 3.35, Average = 3.34", Transparent to translucent,, Pyramidal - Crystals are shaped like pyramids., 3.5 - Copper Penny, Vitreous - Resinous," Fermion Index = 0.01
Boson Index = 0.99"," PECronstedtite = 17.04 barns/electron
U=PECronstedtite x rElectron Density= 55.37 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cronstedtite is Not Radioactive", 71.01.02c.07 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.ED.15 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Cronstedtite, dark olive green," CI meas= 0.095 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= 0.157 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2154,KPDmeas= 0.2312,KC= 0.2555
Ncalc = 1.85 - 1.92"," Biaxial (-), a=1.72, b=1.8, g=1.8, bire=0.0800, 2V(Calc)=0, 2V(Meas)=0."
1089, Ca0.2(H2O)2CrS2, Molecular Weight = 161.98 gm, Ca0.2(H2O)2.1CrS2, Derived from the weathering of caswellsilverite and disseminated in enstatite. Close to schöllhornite., Approved IMA 2002 (Dana # Added)," Norton County enstatite achondrite meteorite, Kansas, USA. Link to MinDat.org Location Data."," Name derived from the Greek Titan ""Cronos"" and alludes to the combined meteor-terrestrial origin where cronusite is derived from terretrial weathering of meteoric minerals.",, IMA1999-018," a = 3.326, c = 33.29, Z = 3; V = 318.93 Den(Calc)= 2.53", {001} Perfect, Coal black., 2.51, Opaque," Sectile - Curved shavings or scrapings produced by a knife blade, (e.g. graphite).", Inclusions - Generally found as inclusions in other minerals., 1.5 - Between Talc and Gypsum, Sub Metallic," Fermion Index = 0.03
Boson Index = 0.97"," PECronusite = 9.72 barns/electron
U=PECronusite x rElectron Density= 24.59 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cronusite is Not Radioactive", 02.09.17.03 (02)Sulfides - Including Selenides and Tellurides," 02.FB.05 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AmMin, Vol 87, p 1510) PHYS. PROP.(AmMin, Vol 87, p 1510) OPTIC PROP.(AmMin, Vol 87, p 1510)",Cronusite, black,,
1090," Cu7(Tl,Ag)Se4", Molecular Weight = 940.92 gm, Cu7Tl0.75Ag0.25Se4," Of hydrothermal origin, with other selenides.", Valid Species (Pre-IMA) 1866," From Skrikerum, near Tryserum, Kalmar, Sweden. Link to MinDat.org Location Data."," After Sir William Crookes (1832-1919), who discovered thallium.",, ICSD 69104," a = 10.435, c = 3.954, Z = 2; V = 430.55 Den(Calc)= 7.26", {???} Good," Blue gray, Brown pink, Gray.", 6.9, Opaque, Brittle - Generally displayed by glasses and most non-metallic minerals.," Disseminated - Occurs in small, distinct particles dispersed in matrix.", 2.5-3 - Finger Nail-Calcite, Metallic," Fermion Index = 0.02
Boson Index = 0.98"," PECrookesite = 331.04 barns/electron
U=PECrookesite x rElectron Density=2,102.14 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Crookesite is Not Radioactive", 02.04.12.01 (02)Sulfides - Including Selenides and Tellurides," 02.BD.50 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Crookesite,,,
1091," Na2(Mg,Fe++)3(Al,Fe+++)2Si8O22(OH)2", Molecular Weight = 795.32 gm, Na2Mg2Fe2+Al0.75Fe3+0.25(Si8O22)(OH)2," High pressure, low temperature metamorphic mineral. Discredited by IMA amphibole subcommittee (now glaucophane or ferroglaucophane or magnesioriebeckite or riebeckite).", Discredited IMA 1997 - Valid Species (Pre-IMA) 1894," Berkeley, Conta Costa Co., USA. Link to MinDat.org Location Data."," Named in 1894 for Charles Whitman Cross, (1854-1949), geologist, United States Geological Survey.",, Discredited," a = 9.647, b = 17.905, c = 5.316, Z = 2; beta = 103.6° V = 892.48 Den(Calc)= 2.96"," {110} Perfect, {010} Good"," Blue, Gray, Gray blue.", 3.16, Transparent to translucent, Brittle - Uneven - Very brittle fracture producing uneven fragments., Tabular - Form dimensions are thin in one direction., 6 - Orthoclase, Vitreous (Glassy)," Fermion Index = 0.02
Boson Index = 0.98"," PECrossite = 3.98 barns/electron
U=PECrossite x rElectron Density= 12.48 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Crossite is Not Radioactive"," 66.01.03c.03 (66)Inosilicate Double-Width Unbranched Chains, W=2", 09.DE.25 09 - SILICATES (Germanates), NAME( Dana8) PHYS. PROP.(Dana8) OPTIC PROP.(Dana),Crossite, white," CI meas= -0.02 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= -0.089 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2214,KPDmeas= 0.2074,KC= 0.2033
Ncalc = 1.6 - 1.64"," Biaxial (-), a=1.64-1.659, b=1.645-1.666, g=1.652-1.67, bire=0.0110-0.0120, 2V(Calc)=72-82, 2V(Meas)=12-65. Dispersion very strong, r > v."
1092, Na3AlF6, Molecular Weight = 209.94 gm, Na3AlF6, Large bed in a granitic vein in gray gneiss., Valid Species (Pre-IMA) 1799," Ivigtut and Arksukfiord, West Greenland. Link to MinDat.org Location Data."," Named from the Greek, kryos ""frost"" and lithos ""stone.""", Cryolite, ICSD 4029," a = 5.4, b = 5.6, c = 7.78, Z = 2; beta = 90.183° V = 235.27 Den(Calc)= 2.96", None," Brownish black, Colorless, Gray, White, Reddish brown."," 2.95 - 3, Average = 2.97", Transparent to translucent, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Massive - Granular - Common texture observed in granite and other igneous rock., 2.5-3 - Finger Nail-Calcite, Vitreous - Greasy," Fermion Index = 0
Boson Index = 1"," PECryolite = 1.16 barns/electron
U=PECryolite x rElectron Density= 3.28 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cryolite is Not Radioactive", 11.06.01.01 (11)Halide Complexes; Alumino-fluorides, 03.CB.15 03 - HALIDES,,Cryolite, white,," Biaxial (+), a=1.3385-1.339, b=1.3389-1.339, g=1.3396-1.34, bire=0.0010-0.0011, 2V(Calc)=0-76, 2V(Meas)=43. Dispersion none."
1093, Na3Li3Al2F12, Molecular Weight = 371.74 gm, Na3Li3Al2F12, Granite pegmatites., Valid Species (Pre-IMA) 1904," Ivigtut and Arksukfiord, West Greenland. Link to MinDat.org Location Data.", Named for its similarity to CRYOlite and high LITHIum content.,, ICSD 9923," a = 12.125, Z = 8; V = 1,782.56 Den(Calc)= 2.77"," {???} Good, {???} Good, {???} Good"," Colorless, White.", 2.78, Transparent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Crystalline - Coarse - Occurs as well-formed coarse sized crystals., 2.5 - Finger Nail, Vitreous - Greasy," Fermion Index = 0.0042011644
Boson Index = 0.9957988356"," PECryolithionite = 1.06 barns/electron
U=PECryolithionite x rElectron Density= 2.78 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cryolithionite is Not Radioactive", 11.06.04.01 (11)Halide Complexes; Alumino-fluorides, 03.CB.05 03 - HALIDES," NAME( Ford32) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Ford32)",Cryolithionite, white,," Isotropic, n=1.34."
1094, (NH4)2SiF6, Molecular Weight = 178.15 gm, (NH4)2SiF6," Volcanic sublimate. Dimorphous with bararite, the lower-temperature form.", Valid Species (Pre-IMA) 1873," Vesuvius, Campania, Italy. Link to MinDat.org Location Data."," Named from the Greek for concealed and salt, for being admixed with sal ammoniac.",, ICSD 18033," a = 8.395, Z = 4; V = 591.65 Den(Calc)= 2.00", {111} Perfect," Colorless, Gray, White.", 2.011, Transparent,,, 2.5 - Finger Nail, Vitreous (Glassy)," Fermion Index = 0.16
Boson Index = 0.84"," PECryptohalite = 0.97 barns/electron
U=PECryptohalite x rElectron Density= 1.96 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cryptohalite is Not Radioactive", 11.05.01.02 (11)Halide Complexes; Alumino-fluorides, 03.CH.15 03 - HALIDES," NAME( AntBidBlaNic3) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Cryptohalite, white,," Isotropic, n=1.369."
1095," K(Mn++++,Mn++)8O16", Molecular Weight = 734.59 gm, KMn4+6Mn2+2O16," Commonest of the hard, black, fine-grained manganese oxides formerly called psilomelane.", Valid Species (Pre-IMA) 1942," Chindwara, India. Link to MinDat.org Location Data."," From the Greek for hidden and black, as the identity of this common, black mineral is lost in the group of other black Mn-bearing oxides.", Cryptomelane + Pronunciation, Psilomelane," a = 9.79, b = 2.88, c = 9.94, Z = 1; beta = 90.62° V = 280.24 Den(Calc)= 4.35",," Black, Gray, Blue gray.", 4.36, Opaque," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).", Massive - Uniformly indistinguishable crystals forming large masses., 6-6.5 - Orthoclase-Pyrite, Sub Metallic," Fermion Index = 0.0001736569
Boson Index = 0.9998263431"," PECryptomelane = 16.25 barns/electron
U=PECryptomelane x relectron= 66.76 barns/cc.","
GRapi = 72.57 (Gamma Ray American Petroleum Institute Units)
Concentration of Cryptomelane per GRapi unit = 1.38 (%)
Estimated Radioactivity from Cryptomelane - barely detectable", 07.09.01.02 (07)Multiple Oxides," 04.DK.10 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990)",Cryptomelane, brownish black,," NCalc= 2.44 - from Gladstone-Dale relationship (KC = 0.3304) where Ncalc=Dcalc*KC+1
NCalc= 2.44 - from Gladstone-Dale relationship (KC = 0.3304) where Ncalc=Dmeas*KC+1"
1096, K2Ca[Si4O10]•5H2O, Molecular Weight = 480.69 gm, K2CaSi4O10•5(H2O), New structure type, Proposed IMA 2009," Tsentral’nyi mine, Khibiny alkaline complex, Kola Peninsula, Russia Link to MinDat.org Location Data."," Commission on New Minerals, Nomenclature and Classification (CNMNC)",, IMA2008-061," a = 6.4934, b = 6.9919, c = 32.087, beta = 94.68° V = 1,451.93",,,,,,,,," Fermion Index = 0.01
Boson Index = 0.99"," PECryptophyllite = 3.54 barns/electron
U=PECryptophyllite x relectron= . barns/cc.","
GRapi = 238.29 (Gamma Ray American Petroleum Institute Units)
Concentration of Cryptophyllite per GRapi unit = 0.42 (%)
Estimated Radioactivity from Cryptophyllite - barely detectable", 78.00.00.00 (78)Unclassified Silicate Minerals, 09.HX.00 09 - SILICATES (Germanates),,Cryptophyllite,,,
1097, Bi2Te2S, Molecular Weight = 705.23 gm, Bi2Te2S, Found in hydrotherma quartz-gold veins o f moderate to high temperature and contact metamorphic deposits., Valid Species (Pre-IMA) 1831," Zupkov (Zsubko, Schubkau), Stredoslovenský Kraj, Slovak Republic. Link to MinDat.org Location Data."," From the Greek, tetradymos, ""fourfold.""", Tetradymite + Pronunciation, Csiklovaite," a = 4.2381, c = 29.589, Z = 3; V = 460.26 Den(Calc)= 7.63", {0001} Perfect," Steel gray, Yellow gray."," 7.2 - 7.9, Average = 7.55", Opaque, Uneven - Flat surfaces (not cleavage) fractured in an uneven pattern., Pseudo Hexagonal - Crystals show a hexagonal outline., 1.5-2 - Talc-Gypsum, Metallic,,,,,,,Tetradymite, steel gray,,
1098, Cu++6Al3Sb3(OH)36," Molecular Weight = 1,439.73 gm", Cu6Al3Sb3(OH)36,, Approved IMA 1983," Clara mine, Black Forest, Germany. Link to MinDat.org Location Data."," Named for the composition (Cu, Al, Stibium - Latin for antimony).",,," a = 9.2, c = 9.73, Z = 1; V = 713.21 Den(Calc)= 3.35", None, Blue green., 3.18,," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).", Microscopic Crystals - Crystals visible only with microscopes., 2 - Gypsum, Vitreous (Glassy)," Fermion Index = 0.0001958086
Boson Index = 0.9998041914"," PECualstibite = 89.74 barns/electron
U=PECualstibite x rElectron Density= 273.52 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cualstibite is Not Radioactive", 44.03.10.01 (44)Antimonates," 04.FB.10 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate",,Cualstibite, pale blue," CI meas= -0.002 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.049 (Good) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1964,KPDmeas= 0.2069,KC= 0.2065
Ncalc = 1.66 - 1.69"," Uniaxial (-), e=1.644, w=1.672, bire=0.0280."
1099, AgSbS, Molecular Weight = 261.68 gm, AgSbS, Found in a hydrothermal quartz-arsenopyrite assemblage. A polymorph of miargyrite., Approved IMA 1998 (Dana # Added)," Baberast, near Haslach, Central Black Forest, Germany. Link to MinDat.org Location Data.", The name alludes to the polymorphic relationship with miargyrite.,, IMA1997-004," a = 5.65, Z = 2; V = 180.36 Den(Calc)= 4.82", None, Grayish black., 5.33, Opaque, Brittle - Generally displayed by glasses and most non-metallic minerals., Anhedral Grains - Granular minerals without the expression of crystal shapes, 3 - Calcite, Metallic," Fermion Index = 0.0009190276
Boson Index = 0.9990809724"," PECuboargyrite = 265.56 barns/electron
U=PECuboargyrite x rElectron Density=1,115.24 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuboargyrite is Not Radioactive", 03.09.02.01 (03)Sulfides - Sulfosalts," 02.JA.15 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AmMin, Vol 84, 7-8) PHYS. PROP.(AmMin, Vol. 84, No. 7-8) OPTIC PROP.(AmMin, Vol. 84, p 1196)",Cuboargyrite, black,,
1100, Cu20Pb21Cl42(OH)40•6H2O," Molecular Weight = 7,899.52 gm", Cu20Pb21Cl42(OH)40•6(H2O), Oxidized zone of sedimentary copper ores associated with boleite., Valid Species (Pre-IMA) 1893," Boleo, near Santa Rosalia, Baja California Sur. Link to MinDat.org Location Data."," Named for Edouard Cumenge (1828-1902), French mining engineer for the Boleo mines.",, Cumengeite," a = 15.1007, c = 24.494, Z = 2; V = 5,585.40 Den(Calc)= 4.70"," {101} Distinct, {110} Poor", Indigo blue., 4.67, Transparent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Pseudo Cubic - Crystals show a cubic outline., 2.5 - Finger Nail, Adamantine," Fermion Index = 0.12
Boson Index = 0.88"," PECumengite = 981.17 barns/electron
U=PECumengite x rElectron Density=4,011.66 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cumengite is Not Radioactive", 10.06.07.01 (10)Oxyhalides and Hydroxyhalides, 03.DB.20 03 - HALIDES," NAME( Ford32) PHYS. PROP.(Dana8, AmMin v91, p1208) OPTIC PROP.(Ford32)",Cumengite, blue," CI meas= -0.092 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.085 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2093,KPDmeas= 0.2106,KC= 0.1929
Ncalc = 1.9 - 1.91"," Uniaxial (-), e=1.926, w=2.041, bire=0.1150."
1101, [ ]Mg7Si8O22(OH)2, Molecular Weight = 780.82 gm, Mg7(Si8O22)(OH)2, Contact and regional metamorphic rocks., Valid Species (Pre-IMA) 1824," Cummington, Massachusetts, USA. Link to MinDat.org Location Data.", Named after its locality.,, ICSD 81355," a = 9.534, b = 18.231, c = 5.3235, Z = 2; beta = 101.97° V = 905.18 Den(Calc)= 2.86"," {110} Perfect, {???} Distinct"," White, Black, Blackish brown, Blackish green, Gray."," 3.1 - 3.6, Average = 3.35", Transparent to translucent to opaque," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Granular - Generally occurs as anhedral to subhedral crystals in matrix., 5-6 - Between Apatite and Orthoclase, Vitreous - Silky," Fermion Index = 0.03
Boson Index = 0.97"," PECummingtonite = 1.59 barns/electron
U=PECummingtonite x rElectron Density= 5.33 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cummingtonite is Not Radioactive"," 66.01.01.02 (66)Inosilicate Double-Width Unbranched Chains, W=2", 09.DE.05 09 - SILICATES (Germanates),,Cummingtonite, grayish white," CI meas= 0.04 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.125 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2341,KPDmeas= 0.1999,KC= 0.2082
Ncalc = 1.6 - 1.75"," Biaxial (+), a=1.639-1.671, b=1.647-1.689, g=1.664-1.708, bire=0.0250-0.0370, 2V(Calc)=70-90, 2V(Meas)=65-90. Dispersion r > v or r < v."
1102," (Cu,Zn)Al", Molecular Weight = 90.71 gm, Cu0.9Zn0.1Al, In weathered serpentinite., Approved IMA 1985," Listvenitovii River, Koryak Mountains, Kamchatka, Russia. Link to MinDat.org Location Data."," Named for its composition (Cu, Al).",, ICSD 40332," a = 6.95, b = 4.16, c = 10.04, Z = 10; V = 290.28 Den(Calc)= 5.19",, Steel yellow.,, Opaque,, Microscopic Crystals - Crystals visible only with microscopes., 4.5 - Between Fluorite and Apatite, Metallic," Fermion Index = 0.0029554985
Boson Index = 0.9970445015"," PECupalite = 33.00 barns/electron
U=PECupalite x rElectron Density= 158.96 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cupalite is Not Radioactive", 01.01.15.01 (01)Native Elements," 01.AA.20 01 - ELEMENTS (Metals and intermetallic alloys; metalloids and nonmetals; carbides, silicides, nitrides, phosphides)"," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Cupalite,,,
1103, Cu10Bi12S23," Molecular Weight = 3,880.74 gm", Cu10Bi12S23, In quartz veins with other sulfides., Valid Species (Pre-IMA) 1884," In the USA, at the Missouri mine, Hall's Calley, Park Co., and the Silver Cliff, Custer Co., Colorado. Link to MinDat.org Location Data.", For the composition.,, ICSD 38364," a = 17.65, b = 3.93, c = 15.24, Z = 1; beta = 100.5° V = 1,039.41 Den(Calc)= 6.20",," Blue black, Gray, Dark blue black.", 6.47, Opaque,,,, Metallic," Fermion Index = 0.001425988
Boson Index = 0.998574012"," PECuprobismutite =1,229.22 barns/electron
U=PECuprobismutite x rElectron Density=6,496.40 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuprobismutite is Not Radioactive", 03.08.02.01 (03)Sulfides - Sulfosalts," 02.JA.10a 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Cuprobismutite, black,,
1104, CuFe+++4(SO4)6(OH)2•20(H2O)," Molecular Weight = 1,257.64 gm", CuFe3+4(SO4)6(OH)2•20(H2O)," Secondary mineral probably formed by reaction between copiapite and copper sulfate-bearing solutions, preserved in arid climates.", Valid Species (Pre-IMA) 1938," Chuquicamata and at Quetena, west of Calama, Antofagasta, Chile. Link to MinDat.org Location Data.", Named as the cuprian member of the copiapite group.,,," a = 7.34, b = 18.19, c = 7.28, Z = 1; alpha = 93.85°, beta = 101.5°, gamma = 99.33° V = 937.75 Den(Calc)= 2.23", {010} Perfect," Greenish yellow, Yellow, Orange."," 2.08 - 2.17, Average = 2.12", Transparent to Translucent,,, 2.5-3 - Finger Nail-Calcite, Pearly," Fermion Index = 0.0051989709
Boson Index = 0.9948010291"," PECuprocopiapite = 8.21 barns/electron
U=PECuprocopiapite x rElectron Density= 18.60 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuprocopiapite is Not Radioactive", 31.10.05.03 (31)Hydrated Sulfates Containing Hydroxyl or Halogen," 07.DB.35 07 - SULFATES (SELENATES, TELLURATES)"," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Cuprocopiapite, light yellow," CI meas= -0.055 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.005 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.262,KPDmeas= 0.275,KC= 0.2606
Ncalc = 1.54 - 1.58"," Biaxial (+), a=1.558, b=1.575, g=1.62, bire=0.0620, 2V(Calc)=66, 2V(Meas)=63."
1105, PbCu(VO4)(OH), Molecular Weight = 402.69 gm, PbCu(VO4)(OH),, Valid Species (Pre-IMA) 1876," Mottram, St. Andrews, Cheshire, England. Link to MinDat.org Location Data.", Named for the locality., Mottramite + Pronunciation, Cuprodescloizite," a = 7.685, b = 9.301, c = 6.02, Z = 4; V = 430.30 Den(Calc)= 6.22", None," Brown, Brown red, Brownish black, Green, Dark green."," 5.9 - 6, Average = 5.95", Transparent to Opaque, Brittle - Generally displayed by glasses and most non-metallic minerals., Radial - Crystals radiate from a center without producing stellar forms (e.g. stibnite), 3.5 - Copper Penny, Greasy (Oily)," Fermion Index = 0.11
Boson Index = 0.89"," PEMottramite = 919.10 barns/electron
U=PEMottramite x rElectron Density=4,968.74 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Mottramite is Not Radioactive"," 41.05.02.02 (41)Anhydrous Phosphates, etc. Containing Hydroxyl or Halogen"," 08.BH.40 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( Sinkankas66) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Sinkankas66)",Mottramite, light brownish green," CI meas= -0.125 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.076 (Fair) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2063,KPDmeas= 0.2157,KC= 0.1917
Ncalc = 2.13 - 2.19"," Biaxial (-), a=2.21, b=2.31, g=2.33, bire=0.1200, 2V(Calc)=46, 2V(Meas)=73."
1106," (Zn,Cu)Al6(PO4)4(OH)8•4(H2O)", Molecular Weight = 823.92 gm, Zn0.8Cu0.2Al6(PO4)4(OH)8•4.5(H2O), In argillized shales associated with copper mineralization., Valid Species (Pre-IMA) 1953," Copper King mine, about 16 km northwest of Carlin, Maggie Creek district, Eureka County, Nevada, USA. Link to MinDat.org Location Data."," Named for George Tobias Faust (1908-1985), mineralogist and geologist, U. S. Geological Survey.", Faustite, Cuprofaustite - Cu-bearing faustite," a = 7.44, b = 9.89, c = 7.67, Z = 1; alpha = 107.2°, beta = 115.6°, gamma = 69.65° V = 455.86 Den(Calc)= 3.00", {???} Indistinct, Apple green., 2.92, Opaque," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Nuggets - Irregular lumps produced by stream transport of malleable metals., 5.5 - Knife Blade, Earthy (Dull)," Fermion Index = 0.0028719103
Boson Index = 0.9971280897"," PEFaustite = 5.02 barns/electron
U=PEFaustite x rElectron Density= 14.63 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Faustite is Not Radioactive"," 42.09.03.03 (42)Hydrated Phosphates, etc., Containing Hydroxyl or Halogen"," 08.DD.15 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic4)",Faustite, greenish white," CI meas= 0.044 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= 0.041 (Good) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2107,KPDmeas= 0.2099,KC= 0.2196
Ncalc = 1.64"," Biaxial (+), b=1.613"
1107, CuIr2S4, Molecular Weight = 576.25 gm, CuIr2S4, In alluvial deposits., Approved IMA 1985," From undefined localities in the Aldan Shield and Kamchatka, Far Eastern Region, USSR. Link to MinDat.org Location Data.", For the chemical composition.,, ICSD 75531," a = 9.92, Z = 8; V = 976.19 Den(Calc)= 7.84",," Iron black, Black.", 7.24, Opaque,,, 5-6 - Between Apatite and Orthoclase, Metallic," Fermion Index = 0.0016693796
Boson Index = 0.9983306204"," PECuproiridsite = 970.92 barns/electron
U=PECuproiridsite x rElectron Density=6,525.51 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cuproiridsite is Not Radioactive", 02.10.01.15 (02)Sulfides - Including Selenides and Tellurides," 02.DA.05 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf"," NAME( AntBidBlaNic1) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic1)",Cuproiridsite, ingen,,
1108, Cu4AgPb2Bi9S18," Molecular Weight = 6,445.41 gm", Cu7.79Ag2.4Pb2.95Bi18.55S35.37Se0.25Te0.39, Related to makovickyite; structure determined, Approved IMA 2002 (Dana # Added)," Scheelite deposit, Felben valley, Hohe Tauern Mts, Salzburg, Austria and Baita Bihor, Romania. Link to MinDat.org Location Data.", Named as the Cu-dominant analogue of makovickyite.,, IMA2002-058," a = 13.405, b = 4.016, c = 29.949, Z = 1; beta = 99.989° V = 1,587.85 Den(Calc)= 6.74",, Gray.,, Opaque,,,, Metallic," Fermion Index = 0.02
Boson Index = 0.98"," PECupromakovickyite =1,340.58 barns/electron
U=PECupromakovickyite x rElectron Density=7,611.92 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Cupromakovickyite is Not Radioactive", 03.08.10.07 (03)Sulfides - Sulfosalts," 02.JA.05d 02 - SULFIDES and SULFOSALTS (sulfides, selenides, tellurides; arsenides, antimonides, bismuthides; sulfarsenites, sulf",,Cupromakovickyite,,,
