,name,image,caption,category,formula,strunz,system,dana,class,symmetry,unit cell,habit,cleavage,mohs,luster,opticalprop,refractive,birefringence,streak,density,diaphaneity,impurities,colour,post_town,var6text,postcode_district,polish,population,unitary_scotland,diagnostic,melt,death_place,birth_place,field,var1,var4,official_name,dispersion,coordinates,static_image_caption,country,fluorescence,color,boxtextcolor,known_for,solubility,lieutenancy_scotland,alteration,var3text,constituency_scottish_parliament,birth_date,count,other,residence,var5,twinning,image_size,imagesize,alt,fusibility,fracture,tenacity,var6,os_grid_reference,var1text,var5text,molweight,gravity,death_date,absorption,var4text,postcode_area,prop1,pleochroism,prop1text,var3,constituency_westminster,lustre,2V,boxwidth,boxes,boxbgcolor,var2text,references,var2
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Topaz,"File:Topaze, quartz fumé 1.jpg",Topaz crystal on white matrix,[[Nesosilicate]] [[mineral]]s,"Al {{sub|2}} SiO {{sub|4}} (F,OH) {{sub|2}}",9.AF.35,[[Orthorhombic]],,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),''Pbnm'',"a = 4.65&nbsp;[[Ångström|Å]], b = 8.8&nbsp;Å, <br/>c = 8.4&nbsp;Å; Z&nbsp;=&nbsp;4",Prismatic crystal,[001] Perfect,8 (defining mineral),Vitreous,Biaxial (+),n {{sub|α}} = 1.606–1.629<br/>n {{sub|β}} = 1.609–1.631<br/>n {{sub|γ}} = 1.616–1.638,δ = 0.010,White,,Transparent,,,,,,,,,,,,,,,,,,,,,Short UV=golden yellow; Long UV=cream,"Colorless (if no impurities), white, blue, brown, orange, gray, yellow, yellowish brown, green, pink and reddish pink, red",#ffffff,,,,,,,,,,,,,,270px,,,[[conchoidal fracture|Subconchoidal]] to uneven,,,,,,,3.49–3.57,,,,,,"Weak in thick sections X = yellow; Y = yellow, violet, reddish; Z = violet, bluish, yellow, pink",,,,,,,,#8f573f,,,
80,'''Krieselite''',Krieselite.jpg,"Krieselite, from Tsumeb, Namibia",,Al<sub>2</sub>GeO<sub>4</sub>(OH)<sub>2</sub>,9.AF.35,Orthorhombic,75.01.03.01,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),''Pnma'',,Isotypic with topaz,,{{frac|5|1|2}} - {{frac|6|1|2}},Greasy,Biaxial,NCalc= 1.81,δ = 0.000,White,4.069 g/cm3,,,,,,,,,,,,,,,,,,,,,,,Beige to white,,,,,,,,,,,,,,,,,,,,,,,,230.81 g/mol,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Alleghanyite,Alleghanyite-21573.jpg,"Alleghanyite crystals up to 2 mm in size in a mixed [[franklinite]]/[[calcite]]/[[willemite]] block of 11×6.5×4 cm size. Location: Sterling Mine, Sussex County, New Jersey, US.",[[Nesosilicates]] <br />[[Humite (mineral group)|Humite group]],Mn<sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,9.AF.45,[[Monoclinic]],52.3.2b.1,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/a,"a = 10.46, b = 4.86 <br/>c = 8.3&nbsp;[Å]; β = 109.133°; Z&nbsp;=&nbsp;2",Granular; anhedral to subhedral crystals in matrix,None,5–6,Vitreous,Biaxial (-),n<sub>α</sub> = 1.756<br/> n<sub>β</sub> = 1.78<br/> n<sub>γ</sub> = 1.792,0.036,,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Brown, bright pink, grayish pink, white",,,,,,,,,,Non-fluorescent,,,,,260px,,,Conchoidal,Brittle,,,,,492.87 g/mol,"4 (meas.), 4.11 (calc.)",,,,,,,,,,,"72° (meas.), 68° (calc.)",,,,,,
83,'''Chondrodite''',Chondrodite-225224.jpg,,[[Silicate minerals|Nesosilicates]],{{chem|Mg|5|(Si|O|4|)|2|F|2}},9.AF.45 (10th edition) <br/><small>8/B.04-20 (8th edition)</small>,[[Monoclinic]],52.3.2b.2,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P2''<sub>1</sub>/a,,"Typically anhedral masses or grains, or as plates flattened on {010}, {001} or {100}.",Poor to good on (001),6 to 6.5,Vitreous to Greasy,Biaxial(+),"n<sub>α</sub> = 1.592 - 1.643, n<sub>β</sub> = 1.602 - 1.655, n<sub>γ</sub> = 1.619 - 1.675,",0.027 - 0.032,Grey or Yellow,,Translucent,,,,,,,,,,,,,,,,,,,,,,"Yellow, orange, red or brown, rarely colorless",,,Soluble in HCl and H<sub>2</sub>SO<sub>4</sub>,,,,,,,Some specimens fluoresce orange yellow under shortwave and orange under longwave UV.  Not radioactive.,,,"Simple or multiple twinning common on {001}, also reported on {105} and {305}.",,260px,,,Conchoidal to Uneven,Brittle,,,,,351.6 g/mol,3.1 to 3.26,,,,,,"X golden yellow to orange, Y and Z light yellow to almost colorless",,,,,,24,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Humite,Humite-155029.jpg,"Humite specimen, Italy",[[Silicate minerals|Nesosilicates]],"(Mg,Fe)<sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>(F,OH)<sub>2</sub>.",9.AF.50,[[Orthorhombic]],,Dipyramidal (mmm) <br/>[[H–M Symbol]]: (2/m 2/m 2/m),''Pbnm'',"a = 10.24, b = 20.72 <br/>c = 4.73&nbsp;[Å]; Z&nbsp;=&nbsp;4",,Poor,6–6.5,Vitreous,Biaxial (+),"n<sub>α</sub> =1.607-1.643, n<sub>β</sub>=1.619-1.653, n<sub>γ</sub>=1.639-1.675",0.0320,White,,Transparent,,,,,,,,,,,,,,,,,"Weak, r > v",,,,,"White, yellow, dark orange, brown",,,,,,,,,,,,,,,260px,,,Uneven to subconchoidal,Brittle,,,,,,3.20 – 3.32,,,,,,,,,,,"Calculated = 70-78°, measured = 68-81°",,,,,,
88,Leucophoenicite,Leucophoenicite.jpg,"Leucophoenicite from the Wessels Mine in [[Kuruman]], South Africa.",[[Nesosilicates]],Mn<sub>7</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>,9.AF.60,[[Monoclinic]],52.3.2c.2,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P2''<sub>1</sub>/a,a = 10.84&nbsp;Å <br/>b = 4.82&nbsp;Å <br/>c = 11.32&nbsp;Å <br/>β = 103.93°; Z&nbsp;=&nbsp;2,,Imperfect on {001},5.5 to 6,Vitreous,Biaxial (-),n<sub>α</sub> = 1.751<br>n<sub>β</sub> = 1.771<br>n<sub>γ</sub> = 1.782,δ = 0.031,,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,Non-fluorescent,,,,,,,,,,,,,,,,,,,,Brittle,,,,,,,,,,,,Faint; rose-red [[Parallel (geometry)|∥]] {001}<br>Colorless [[perpendicular|⊥]] {001},,,,,74° (measured),,,,,,
89,Galaxite,Galaxite-Jacobsite-Wiserite-697074.jpg,"Galaxite from the Kaso mine, Japan",[[Oxide minerals]] <br />[[Spinel group]] <br />Normal Spinel structural group,MnAl<sub>2</sub>O<sub>4</sub>,4.BB.05,[[Cubic crystal system|Cubic]],,Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),''Fd'' {{overline|3}} m,a = 8.271&nbsp;Å; Z&nbsp;=&nbsp;8,Octahedra and rounded grains and exolution blebs,Indistinct to none,7.5,Vitreous,Isotropic,n = 1.923,,Red-brown,,Opaque; may be translucent in thin section,,,,,,,,,,,,,,,,,,,,,,"Black, red-brown, red to yellow",,,,,,,,,,weakly to moderately magnetic,,,Spinel law with {111} as both twin and composition plane,,,,,Conchoidal to irregular,Brittle,,,,,,4.234,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Clinohumite,File:Clinohumite.jpg,,[[Nesosilicate]],"(Mg,Fe)<sub>9</sub>(SiO<sub>4</sub>)<sub>4</sub>(F,OH)<sub>2</sub>",,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/''c'',"a = 13.71&nbsp;Å, b = 4.75&nbsp;Å, <br/>c = 10.29&nbsp;Å; β = 100.83°; Z&nbsp;=&nbsp;2","Granular, prismatic, twinned",Poor on {100},6,Vitreous to resinous,biaxial (+),n<sub>α</sub> = 1.623 - 1.702 n<sub>β</sub> = 1.636 - 1.709 n<sub>γ</sub> = 1.651 - 1.728,+0.028,White,,Transparent to translucent,,,,,,,,,,,,,,Titanclinohumite,,,,,,,,"Brownish to orange, yellow, red",,,,,,,,,,,,,"Simple, lamellar common on {100}",,,,,Subconchoidal to uneven,,,,"Titanoan; (Mg,Fe<sup>2+</sup>,Ti)<sub>9</sub> <br/>[(F,OH,O)<sub>2</sub> (SiO<sub>4</sub>)<sub>4</sub>]",,,3.17-3.35,,,,,,"X = golden yellow, yellow-brown, deep reddish yellow; Y = pale yellow, yellow-orange, light yellow; Z = pale yellow, yellow-orange, colorless",,,,,Measured: 52° to 90°,,,,,,
92,Jerrygibbsite,Jerrygibbsite.jpg,Jerrygibbsite (pink) found in New Jersey,[[Nesosilicates]],"{{chem2|(Mn,Zn)9(SiO4)4(OH)2}}",9.AF.70,[[Orthorhombic]],,Pyramidal (mm2) <br/>[[H-M Symbol]]: (mm2),''Pbn''2<sub>1</sub>,"a = 4.85, b = 10.7 <br/>c = 28.17&nbsp;[Å]; Z&nbsp;=&nbsp;4",Interlocking anhedral crystals,Imperfect on {001},5.5,Vitreous,Biaxial (-),n<sub>α</sub> = 1.772 n<sub>β</sub> = 1.783 n<sub>γ</sub> = 1.789,δ = 0.017,Light pink,,Alternating transparent and translucent lamellae,,,,,,,,,,,,,,,,,,,,,,"Violet-pink, with a brownish tinge",,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,Measured: 72°,,,,,,
93,Sonolite,Zincite-Manganosite-Sonolite-21568.jpg,Sonolite (in bottom left corner) with [[zincite]] and [[manganosite]],[[Silicate minerals]],"Mn<sub>9</sub>(SiO<sub>4</sub>)<sub>4</sub>(OH,F)<sub>2</sub>",9.AF.55,[[Monoclinic]],52.3.2d.3,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/b,"a = 4.87&nbsp;[[Ångström|Å]], b = 10.66&nbsp;Å <br/>c = 14.28&nbsp;Å <br/>β = 100.3°, Z&nbsp;=&nbsp;2",,,5.5,"Vitreous, Dull",Biaxial (-),n<sub>α</sub> = 1.765<br>n<sub>β</sub> = 1.778<br>n<sub>γ</sub> = 1.787,δ = 0.022,,3.82–4.00 (measured),Transparent to translucent,,,,,,,,,,,,,,,,,r > v,,,,,"Red-orange, pinkish brown to dark brown<br>Colorless in thin section",,,,,,,,,,,,,"Common, singular or lamellar on {101}",,260px,,,,,,,,,,,,,,,,,,,,,75° to 82° (measured),,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,'''Norbergite''',Norbergite-Calcite-290476.jpg,"Norbergite crystals on calcite from Oakssaung Hill, Mogok, Mandalay, Burma (size: 4.2 x 3.3 x 2.3 cm)",[[Silicate minerals|Nesosilicates]],"Mg<sub>3</sub>(SiO<sub>4</sub>)(F,OH)<sub>2</sub>",9.AF.40,[[Orthorhombic]],,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),''Pnma'',"a = 8.747(6), b = 4.710(4) <br/>c = 10.271(8)&nbsp;[Å]; Z&nbsp;=&nbsp;4","Granular, tabular crystals rare",,6-6.5,Vitreous to resinous,Biaxial (+),n<sub>α</sub> = 1.563 n<sub>β</sub> = 1.567 n<sub>γ</sub> = 1.590,δ = 0.027,White,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Tan, yellow, yellow-orange, orange-brown, pink with purplish tint, white",,,,,,,,,,May fluoresce canary-yellow under SW UV,,,,,,,,Uneven to subconchoidal,Brittle,,,,,202.00 g/mol,3.177,,,,,,Pleochroism: X = pale yellow; Y = very pale yellow; Z = colorless,,,,,44 - 50°,,,,,,
96,Chloritoid,Chloritoid-bem-12b.jpg,"Chloritoid crystal group on matrix from Nuristan Province, Afghanistan (size:6.3 x 3.5 x 3.0 cm)",[[Nesosilicates]],"{{chem|(Fe|,Mg|,Mn)|2|Al|4|Si|2|O|10|(O|H)|4}}",9.AF.85,1A polytype: [[triclinic]] <br/>2M polytype: [[monoclinic]],52.03.03.01,1A polytype: pinacoidal ( {{overline|1}} ) <br/>2M polytype: prismatic (2/m),,"1A polytype: a = 9.46&nbsp;Å,  <br/>b = 5.50&nbsp;Å, c = 9.15&nbsp;Å;  <br/>α = 97.05°, β = 101.56°,  <br/>γ = 90.10°  <br/>2M polytype: a = 9.50&nbsp;Å,  <br/>b = 5.50&nbsp;Å, c = 18.22&nbsp;Å;  <br/>β = 101.9°; Z&nbsp;=&nbsp;4","Tabular pseudohexagonal crystals; rosettes, commonly coarsely foliated with foliae
typically curved or bent; also massive","Perfect on {001}, distinct on {110}; parting on {010}",6.5,pearly on cleavage surfaces,Biaxial (+) or (–),n<sub>α</sub> = 1.713 - 1.730 n<sub>β</sub> = 1.719 - 1.734 n<sub>γ</sub> = 1.723 - 1.740,δ = 0.010,"White, grayish, or very slightly greenish",,Translucent,,,,,,,,,,,,,,,,,r > v; strong,,,,,"Dark gray, greenish gray, greenish black",,,,,,,,,,,,,"Common on {001}, polysynthetic may be lamellar",,,,,,Brittle,,,,,,3.46 – 3.80,,,,,,X = olive-green to yellow; Y = grayish blue to blue; Z = colorless to pale greenish yellow,,,,,Measured: 36° to 89°,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Ottrelite,Ottrelite-41820.jpg,Ottrelite,[[Nesosilicate]],"{{chem2|(Mn,Fe,Mg)2Al4Si2O10(OH)4}}",09.AF.85,,,,,,Granular,{001} perfect; {110} likely,6-7,[[Vitreous lustre|Vitreous]] to nearly [[adamantine lustre|adamantine]] on [[cleavage (crystal)|cleavages]],,,,"Greenish, grayish",3.52,Translucent,,,,,,,,,,,,,,,,,"r > v, strong",,,,,Pistachio green,,,,,,,,,,,,,"[[Polysynthetic]], {001}",,,,,,,,,,,490.11,3.50,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Clinozoisite,"Clinozoisite, Amphibole Group - Mount Belvidere Quarries, Vermont, USA.jpg",Clinozoisite,[[Sorosilicates]] <br/>[[Epidote]] group,Ca<sub>2</sub>Al<sub>3</sub>(Si<sub>2</sub>O<sub>7</sub>)(SiO<sub>4</sub>)O(OH),9.BG.05a,[[Monoclinic]],58.2.1a.4,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/m,"a = 8.879, b = 5.583 <br/>c = 10.155&nbsp;[Å]; β = 115.50°; Z&nbsp;=&nbsp;2","Elongated primatic crystals, striated; granular to fibrous",Perfect on {001},6-7,Vitreous,Biaxial (+),n<sub>α</sub> = 1.706 - 1.724 n<sub>β</sub> = 1.708 - 1.729 n<sub>γ</sub> = 1.712 - 1.735,δ = 0.006 - 0.011,Grayish white,,Transparent to translucent,,,,,,,,,,,,,,,,,,,,,,"Colorless, green, gray, light green, yellow green, pink",,,,,,,,,,,,,Lamellar on {100} uncommon,,260px,,,Irregular/uneven,Brittle,,,,,,3.3 - 3.4,,,,,,,,,,,14 to 90° measured,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Epidote,"Epidote - Canta, Lima, Peru.jpg",Epidote crystals,[[Silicate mineral|Sorosilicates]],{Ca<sub>2</sub>}{Al<sub>2</sub>Fe<sup>3+</sup>}[O OH SiO<sub>4</sub> Si<sub>2</sub>O<sub>7</sub>],,[[Monoclinic]],,Prismatic (2m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/m,,"Prismatic with striations, fibrous, massive",{001} perfect and {100} imperfect,6–7,Vitreous to resinous,Biaxial (-),n<sub>α</sub> = 1.715–1.751<br> n<sub>β</sub> = 1.725–1.784<br> n<sub>γ</sub> = 1.734–1.797,δ = 0.019–0.046,Greyish white,,Transparent to nearly opaque,,,,,,,,,,,,,,,,,,,,,,"Pistachio-green, yellow-green, greenish black, brownish-green, green, black",,,,,,,,,,,,,On [100],,290px,,,Flat regular to uneven,,,,,,,3.3–3.6,,,,,,Strong,,,,,,,,,,,
103,Epidote,"Epidote - Canta, Lima, Peru.jpg",Epidote crystals,[[Silicate mineral|Sorosilicates]],{Ca<sub>2</sub>}{Al<sub>2</sub>Fe<sup>3+</sup>}[O OH SiO<sub>4</sub> Si<sub>2</sub>O<sub>7</sub>],,[[Monoclinic]],,Prismatic (2m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/m,,"Prismatic with striations, fibrous, massive",{001} perfect and {100} imperfect,6–7,Vitreous to resinous,Biaxial (-),n<sub>α</sub> = 1.715–1.751<br> n<sub>β</sub> = 1.725–1.784<br> n<sub>γ</sub> = 1.734–1.797,δ = 0.019–0.046,Greyish white,,Transparent to nearly opaque,,,,,,,,,,,,,,,,,,,,,,"Pistachio-green, yellow-green, greenish black, brownish-green, green, black",,,,,,,,,,,,,On [100],,290px,,,Flat regular to uneven,,,,,,,3.3–3.6,,,,,,Strong,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Piemontite,Piémontite.jpg,"Piémontite from the type locality: Prabornaz Mine, Italy",[[Sorosilicate]]s<br />Epidote,"{{chem2|Ca2(Al,Mn(3+),Fe(3+))3(SiO4)(Si2O7)O(OH)}}",,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/m,,"Slender prismatic, blocky to massive","[001] good, [100] distinct",6 - 6.5,,Biaxial (+) 2V = 64 - 106,nα = 1.725 - 1.756 nβ = 1.730 - 1.789 nγ = 1.750 - 1.832,δ = 0.025 - 0.076,Red,3.46 - 3.54,Translucent to nearly opaque,,"Reddish-brown, reddish-black",,,,,,,,,,,,,,,r>v very strong,,,,,,,,,,,,,,,,,,On [100] uncommon,,275px,,,Uneven to splintery,Brittle,,,,,,,,,,,,Visible,,,,Vitreous,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Allanite,"Allanite-(Ce) - Mary Kathleen Mine, Mount Isa, Queensland, Australia.jpg","Allanite from the Mt. Isa – Cloncurry area, Queensland, Australia (scale bar 1 inch)",[[Sorosilicates]],"(Ce,Ca,Y,La)<sub>2</sub>(Al,Fe<sup>+3</sup>)<sub>3</sub>(SiO<sub>4</sub>)<sub>3</sub>(OH)",9.BG.05b,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/m,"''a'' = 8.927, ''b'' = 5.761 <br/>''c'' = 10.15&nbsp;[Å]; β = 114.77°; ''Z''&nbsp;=&nbsp;2","Crystals tabular, prismatic to acicular; granular, massive; commonly metamict",Imperfect to poor,5.5–6,"Vitreous, resinous to submetallic",Biaxial (−),"''n''<sub>α</sub> = 1.715–1.791, ''n''<sub>β</sub> = 1.718–1.815, ''n''<sub>γ</sub> = 1.733–1.822",δ = 0.018–0.031,Grey,,Translucent to opaque,,,,,,,,,,,,,,,,,''r'' > ''v''; strong,,,,,Brown to black,,,,,,,,,,[[Image:Radioactive.svg|25px]] [[Radioactive]] if uranium and/or thorium-rich,,,"Polysynthetic, common on {100}",,,,,Conchoidal to uneven,Brittle,,,,,,3.5–4.2,,,,,,"''X'' = pale olive-green, reddish brown;<br/> ''Y'' = dark brown, brownish yellow;<br/> ''Z'' = dark reddish brown, greenish brown",,,,,Measured: 40° to 80°,,,,,,
108,'''Dollaseite-(Ce)''',Dollaseite.JPG,,[[Silicate mineral]],CaCeMg<sub>2</sub>AlSi<sub>3</sub>O<sub>11</sub>F(OH),,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/m,,"Massive, somewhat prismatic, equant when subhedral","Indistinct, epidote has one good cleavage on one side",6.5–7,Vitreous,Biaxial (+),nα = 1.715 nβ = 1.718 nγ = 1.733,δ = 0.018,light brown,,Translucent,,,,,,,,,,,,,,,,,,,,,,Brown,,,,,,,,,,,,,On [100],,,,,Flat regular to uneven,,,,,,551.04 g/mol,3.9,,,,,,Strong,,,,,,,,,,,
109,Håleniusite-(La),Håleniusite-(La)-704037.jpg,Håleniusite-(La) (yellow) with other minerals,,"(La,Ce)OF",3/A.08-25,Isometric,,,''Fm {{overline|3}} m'' (No. 225),178.26 Å³ (Calculated from Unit Cell),,,,"Dull, earthy",,,,Light yellow,6.5 g/cm3 (Measured),Translucent,,Lemon yellow to ochre yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.90 gm,6.5,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,'''Dollaseite-(Ce)''',Dollaseite.JPG,,[[Silicate mineral]],CaCeMg<sub>2</sub>AlSi<sub>3</sub>O<sub>11</sub>F(OH),,[[Monoclinic]],,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,''P''2<sub>1</sub>/m,,"Massive, somewhat prismatic, equant when subhedral","Indistinct, epidote has one good cleavage on one side",6.5–7,Vitreous,Biaxial (+),nα = 1.715 nβ = 1.718 nγ = 1.733,δ = 0.018,light brown,,Translucent,,,,,,,,,,,,,,,,,,,,,,Brown,,,,,,,,,,,,,On [100],,,,,Flat regular to uneven,,,,,,551.04 g/mol,3.9,,,,,,Strong,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Tourmaline,Tourmaline-121240.jpg,,[[Cyclosilicate]],"{{chem2|(Ca,K,Na,[[vacancy defect|▢]])(Al,Fe,Li,Mg,Mn)3(Al,Cr, Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4}}",,[[Trigonal]],,Ditrigonal pyramidal (3m)<br>[[H-M symbol]]: (3m),''R3m'' (no. 160),,"Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).",Indistinct,7.0–7.5,"Vitreous, sometimes resinous","Double refractive, uniaxial negative",nω=1.635–1.675<br>nε=1.610–1.650,-0.018 to −0.040; typically about .020 but in dark stones it may reach .040,White,2.82–3.32,Translucent to opaque,,,,,,Vitreous,,,,,,,,,,,.017,,,,pink stones—inert to very weak red to violet in long and short wave,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in between; can be bi-colored, or even tri-colored; rarely can be neon green or electric blue",,,,,,,,,,,,,,,,"A stone cut open and polished, revealing a bright rainbow of colors",,"Uneven, small conchoidal, brittle",Brittle,,,,,,3.06 (+.20 -.06),,"Strong narrow band at 498 nm, and almost complete absorption of red down to 640&nbsp;nm in blue and green stones; red and pink stones show lines at 458 and 451&nbsp;nm as well as a broad band in the green spectrum",,,,"{{plainlist|
*Typically moderate to strong|ref| name=""GRG"" |
*Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue}} *Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue",,,,,,,,#a7a927,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Tourmaline,Tourmaline-121240.jpg,,[[Cyclosilicate]],"{{chem2|(Ca,K,Na,[[vacancy defect|▢]])(Al,Fe,Li,Mg,Mn)3(Al,Cr, Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)4}}",,[[Trigonal]],,Ditrigonal pyramidal (3m)<br>[[H-M symbol]]: (3m),''R3m'' (no. 160),,"Parallel and elongated. Acicular prisms, sometimes radiating. Massive. Scattered grains (in granite).",Indistinct,7.0–7.5,"Vitreous, sometimes resinous","Double refractive, uniaxial negative",nω=1.635–1.675<br>nε=1.610–1.650,-0.018 to −0.040; typically about .020 but in dark stones it may reach .040,White,2.82–3.32,Translucent to opaque,,,,,,Vitreous,,,,,,,,,,,.017,,,,pink stones—inert to very weak red to violet in long and short wave,"Most commonly black, but can range from colorless to brown, red, orange, yellow, green, blue, violet, pink, or hues in between; can be bi-colored, or even tri-colored; rarely can be neon green or electric blue",,,,,,,,,,,,,,,,"A stone cut open and polished, revealing a bright rainbow of colors",,"Uneven, small conchoidal, brittle",Brittle,,,,,,3.06 (+.20 -.06),,"Strong narrow band at 498 nm, and almost complete absorption of red down to 640&nbsp;nm in blue and green stones; red and pink stones show lines at 458 and 451&nbsp;nm as well as a broad band in the green spectrum",,,,"{{plainlist|
*Typically moderate to strong|ref| name=""GRG"" |
*Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue}} *Red: definite; dark red, light red
*Green: strong; dark green, yellow-green
*Brown: definite; dark brown, light brown
*Blue: strong; dark blue, light blue",,,,,,,,#a7a927,,,
